,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
290442,2022-04-14 06:00:00,401546,80,0,173.0,67.5,6,14
291234,2022-04-14 06:00:00,402814,80,0,189.0,68.4,6,14
291235,2022-04-14 06:00:00,402815,80,0,189.0,68.4,6,14
291236,2022-04-14 06:00:00,402816,80,0,189.0,68.4,6,14
291237,2022-04-14 06:00:00,402817,80,0,76.0,66.8,6,14
291793,2022-04-14 06:00:00,404400,80,0,182.0,66.8,6,14
291892,2022-04-14 06:00:00,404885,80,100,154.0,70.5,6,14
291893,2022-04-14 06:00:00,404886,80,0,122.0,66.7,6,14
291896,2022-04-14 06:00:00,404889,80,0,115.0,62.3,6,14
291898,2022-04-14 06:00:00,404891,80,100,137.0,70.6,6,14
291899,2022-04-14 06:00:00,404892,80,100,166.0,70.5,6,14
291901,2022-04-14 06:00:00,404894,80,100,210.0,68.0,6,14
291903,2022-04-14 06:00:00,404896,80,0,97.0,59.1,6,14
291904,2022-04-14 06:00:00,404897,80,100,161.0,70.6,6,14
291905,2022-04-14 06:00:00,404898,80,100,169.0,70.8,6,14
291906,2022-04-14 06:00:00,404899,80,100,156.0,71.1,6,14
291908,2022-04-14 06:00:00,404906,80,0,200.0,65.7,6,14
291910,2022-04-14 06:00:00,404908,80,0,155.0,65.9,6,14
291912,2022-04-14 06:00:00,404910,80,20,161.0,65.2,6,14
291914,2022-04-14 06:00:00,404912,80,100,166.0,70.5,6,14
291916,2022-04-14 06:00:00,404914,80,0,203.0,64.9,6,14
291923,2022-04-14 06:00:00,404921,80,80,75.0,68.7,6,14
291925,2022-04-14 06:00:00,404923,80,0,203.0,61.4,6,14
293402,2022-04-14 06:00:00,420340,80,100,0.0,71.6,6,14
294465,2022-04-14 06:05:00,401546,80,0,242.0,67.5,6,14
295257,2022-04-14 06:05:00,402814,80,0,200.0,67.7,6,14
295258,2022-04-14 06:05:00,402815,80,0,200.0,67.7,6,14
295259,2022-04-14 06:05:00,402816,80,0,200.0,67.7,6,14
295260,2022-04-14 06:05:00,402817,80,0,76.0,66.8,6,14
295816,2022-04-14 06:05:00,404400,80,0,206.0,66.7,6,14
295915,2022-04-14 06:05:00,404885,80,100,177.0,71.2,6,14
295916,2022-04-14 06:05:00,404886,80,0,133.0,66.5,6,14
295919,2022-04-14 06:05:00,404889,80,0,115.0,62.3,6,14
295921,2022-04-14 06:05:00,404891,80,100,168.0,71.2,6,14
295922,2022-04-14 06:05:00,404892,80,100,188.0,70.6,6,14
295924,2022-04-14 06:05:00,404894,80,100,251.0,70.7,6,14
295926,2022-04-14 06:05:00,404896,80,0,111.0,59.6,6,14
295927,2022-04-14 06:05:00,404897,80,100,183.0,71.2,6,14
295928,2022-04-14 06:05:00,404898,80,100,193.0,71.4,6,14
295929,2022-04-14 06:05:00,404899,80,100,189.0,71.0,6,14
295931,2022-04-14 06:05:00,404906,80,0,225.0,66.1,6,14
295933,2022-04-14 06:05:00,404908,80,0,190.0,66.4,6,14
295935,2022-04-14 06:05:00,404910,80,20,173.0,65.4,6,14
295937,2022-04-14 06:05:00,404912,80,100,191.0,71.4,6,14
295939,2022-04-14 06:05:00,404914,80,0,232.0,68.4,6,14
295946,2022-04-14 06:05:00,404921,80,80,87.0,68.8,6,14
295948,2022-04-14 06:05:00,404923,80,0,220.0,61.7,6,14
297425,2022-04-14 06:05:00,420340,80,100,0.0,71.6,6,14
298488,2022-04-14 06:10:00,401546,80,0,249.0,66.9,6,14
299280,2022-04-14 06:10:00,402814,80,0,219.0,67.4,6,14
299281,2022-04-14 06:10:00,402815,80,0,219.0,67.4,6,14
299282,2022-04-14 06:10:00,402816,80,0,219.0,67.4,6,14
299283,2022-04-14 06:10:00,402817,80,0,76.0,66.8,6,14
299839,2022-04-14 06:10:00,404400,80,0,214.0,66.8,6,14
299938,2022-04-14 06:10:00,404885,80,100,196.0,71.0,6,14
299939,2022-04-14 06:10:00,404886,80,0,135.0,67.1,6,14
299942,2022-04-14 06:10:00,404889,80,0,115.0,62.3,6,14
299944,2022-04-14 06:10:00,404891,80,100,210.0,70.6,6,14
299945,2022-04-14 06:10:00,404892,80,100,240.0,70.1,6,14
299947,2022-04-14 06:10:00,404894,80,100,279.0,68.1,6,14
299949,2022-04-14 06:10:00,404896,80,0,114.0,59.9,6,14
299950,2022-04-14 06:10:00,404897,80,100,230.0,70.6,6,14
299951,2022-04-14 06:10:00,404898,80,100,235.0,70.7,6,14
299952,2022-04-14 06:10:00,404899,80,100,218.0,70.2,6,14
299954,2022-04-14 06:10:00,404906,80,0,246.0,65.6,6,14
299956,2022-04-14 06:10:00,404908,80,0,215.0,65.8,6,14
