,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
290730,2022-08-23 06:00:00,401546,80,80,187.0,67.4,6,23
291522,2022-08-23 06:00:00,402814,80,0,179.0,68.3,6,23
291523,2022-08-23 06:00:00,402815,80,0,179.0,68.3,6,23
291524,2022-08-23 06:00:00,402816,80,0,179.0,68.3,6,23
291525,2022-08-23 06:00:00,402817,80,0,179.0,68.3,6,23
292081,2022-08-23 06:00:00,404400,80,100,172.0,68.6,6,23
292180,2022-08-23 06:00:00,404885,80,0,179.0,68.3,6,23
292181,2022-08-23 06:00:00,404886,80,100,147.0,69.7,6,23
292184,2022-08-23 06:00:00,404889,80,0,179.0,68.3,6,23
292186,2022-08-23 06:00:00,404891,80,100,130.0,70.8,6,23
292187,2022-08-23 06:00:00,404892,80,100,136.0,70.5,6,23
292189,2022-08-23 06:00:00,404894,80,0,153.0,66.2,6,23
292191,2022-08-23 06:00:00,404896,80,100,140.0,72.2,6,23
292192,2022-08-23 06:00:00,404897,80,100,141.0,70.6,6,23
292193,2022-08-23 06:00:00,404898,80,0,200.0,66.6,6,23
292194,2022-08-23 06:00:00,404899,80,0,213.0,66.4,6,23
292196,2022-08-23 06:00:00,404906,80,0,156.0,66.2,6,23
292198,2022-08-23 06:00:00,404908,80,0,139.0,66.3,6,23
292200,2022-08-23 06:00:00,404910,80,0,184.0,66.5,6,23
292202,2022-08-23 06:00:00,404912,80,20,153.0,67.8,6,23
292204,2022-08-23 06:00:00,404914,80,0,187.0,65.4,6,23
292211,2022-08-23 06:00:00,404921,80,80,72.0,67.1,6,23
292213,2022-08-23 06:00:00,404923,80,0,199.0,66.1,6,23
293688,2022-08-23 06:00:00,420340,80,0,198.0,67.8,6,23
294757,2022-08-23 06:05:00,401546,80,80,213.0,67.6,6,23
295549,2022-08-23 06:05:00,402814,80,0,190.0,67.5,6,23
295550,2022-08-23 06:05:00,402815,80,0,190.0,67.5,6,23
295551,2022-08-23 06:05:00,402816,80,0,190.0,67.5,6,23
295552,2022-08-23 06:05:00,402817,80,0,190.0,67.5,6,23
296108,2022-08-23 06:05:00,404400,80,100,194.0,68.3,6,23
296207,2022-08-23 06:05:00,404885,80,0,190.0,67.5,6,23
296208,2022-08-23 06:05:00,404886,80,100,204.0,68.5,6,23
296211,2022-08-23 06:05:00,404889,80,0,190.0,67.5,6,23
296213,2022-08-23 06:05:00,404891,80,100,174.0,70.4,6,23
296214,2022-08-23 06:05:00,404892,80,100,189.0,69.4,6,23
296216,2022-08-23 06:05:00,404894,80,0,153.0,66.6,6,23
296218,2022-08-23 06:05:00,404896,80,100,191.0,70.8,6,23
296219,2022-08-23 06:05:00,404897,80,100,185.0,69.5,6,23
296220,2022-08-23 06:05:00,404898,80,0,235.0,66.3,6,23
296221,2022-08-23 06:05:00,404899,80,0,237.0,64.9,6,23
296223,2022-08-23 06:05:00,404906,80,0,209.0,66.0,6,23
296225,2022-08-23 06:05:00,404908,80,0,191.0,66.3,6,23
296227,2022-08-23 06:05:00,404910,80,0,244.0,66.4,6,23
296229,2022-08-23 06:05:00,404912,80,20,164.0,68.3,6,23
296231,2022-08-23 06:05:00,404914,80,0,220.0,64.9,6,23
296238,2022-08-23 06:05:00,404921,80,80,97.0,67.4,6,23
296240,2022-08-23 06:05:00,404923,80,0,244.0,65.7,6,23
297715,2022-08-23 06:05:00,420340,80,0,252.0,67.3,6,23
298784,2022-08-23 06:10:00,401546,80,80,211.0,67.0,6,23
299576,2022-08-23 06:10:00,402814,80,0,207.0,67.3,6,23
299577,2022-08-23 06:10:00,402815,80,0,207.0,67.3,6,23
299578,2022-08-23 06:10:00,402816,80,0,207.0,67.3,6,23
299579,2022-08-23 06:10:00,402817,80,0,207.0,67.3,6,23
300135,2022-08-23 06:10:00,404400,80,100,190.0,69.3,6,23
300234,2022-08-23 06:10:00,404885,80,0,207.0,67.3,6,23
300235,2022-08-23 06:10:00,404886,80,100,205.0,68.7,6,23
300238,2022-08-23 06:10:00,404889,80,0,207.0,67.3,6,23
300240,2022-08-23 06:10:00,404891,80,100,178.0,70.9,6,23
300241,2022-08-23 06:10:00,404892,80,100,198.0,70.1,6,23
300243,2022-08-23 06:10:00,404894,80,0,217.0,68.8,6,23
300245,2022-08-23 06:10:00,404896,80,100,182.0,70.3,6,23
300246,2022-08-23 06:10:00,404897,80,100,189.0,70.5,6,23
300247,2022-08-23 06:10:00,404898,80,0,241.0,66.9,6,23
300248,2022-08-23 06:10:00,404899,80,0,237.0,64.7,6,23
300250,2022-08-23 06:10:00,404906,80,0,208.0,66.1,6,23
300252,2022-08-23 06:10:00,404908,80,0,190.0,66.4,6,23
300254,2022-08-23 06:10:00,404910,80,0,248.0,66.3,6,23
300256,2022-08-23 06:10:00,404912,80,20,222.0,69.5,6,23
300258,2022-08-23 06:10:00,404914,80,0,225.0,66.2,6,23
300265,2022-08-23 06:10:00,404921,80,80,107.0,68.3,6,23
300267,2022-08-23 06:10:00,404923,80,0,234.0,64.8,6,23
301742,2022-08-23 06:10:00,420340,80,0,246.0,66.4,6,23
302811,2022-08-23 06:15:00,401546,80,80,282.0,67.7,6,23
303603,2022-08-23 06:15:00,402814,80,0,225.0,67.2,6,23
303604,2022-08-23 06:15:00,402815,80,0,225.0,67.2,6,23
303605,2022-08-23 06:15:00,402816,80,0,225.0,67.2,6,23
303606,2022-08-23 06:15:00,402817,80,0,225.0,67.2,6,23
304162,2022-08-23 06:15:00,404400,80,100,271.0,69.5,6,23
304261,2022-08-23 06:15:00,404885,80,0,225.0,67.2,6,23
304262,2022-08-23 06:15:00,404886,80,100,234.0,70.6,6,23
304265,2022-08-23 06:15:00,404889,80,0,225.0,67.2,6,23
304267,2022-08-23 06:15:00,404891,80,100,208.0,71.3,6,23
304268,2022-08-23 06:15:00,404892,80,100,256.0,70.6,6,23
304270,2022-08-23 06:15:00,404894,80,0,224.0,69.6,6,23
304272,2022-08-23 06:15:00,404896,80,100,211.0,69.3,6,23
304273,2022-08-23 06:15:00,404897,80,100,256.0,70.2,6,23
304274,2022-08-23 06:15:00,404898,80,0,295.0,66.0,6,23
304275,2022-08-23 06:15:00,404899,80,0,293.0,65.2,6,23
304277,2022-08-23 06:15:00,404906,80,0,242.0,66.4,6,23
304279,2022-08-23 06:15:00,404908,80,0,221.0,66.7,6,23
304281,2022-08-23 06:15:00,404910,80,0,280.0,66.4,6,23
304283,2022-08-23 06:15:00,404912,80,20,237.0,70.1,6,23
304285,2022-08-23 06:15:00,404914,80,0,275.0,64.4,6,23
304292,2022-08-23 06:15:00,404921,80,80,115.0,68.1,6,23
304294,2022-08-23 06:15:00,404923,80,0,264.0,66.2,6,23
305769,2022-08-23 06:15:00,420340,80,0,274.0,66.6,6,23
306838,2022-08-23 06:20:00,401546,80,80,246.0,66.7,6,23
307630,2022-08-23 06:20:00,402814,80,0,239.0,67.2,6,23
307631,2022-08-23 06:20:00,402815,80,0,239.0,67.2,6,23
307632,2022-08-23 06:20:00,402816,80,0,239.0,67.2,6,23
307633,2022-08-23 06:20:00,402817,80,0,239.0,67.2,6,23
308189,2022-08-23 06:20:00,404400,80,100,234.0,69.1,6,23
308288,2022-08-23 06:20:00,404885,80,0,239.0,67.2,6,23
308289,2022-08-23 06:20:00,404886,80,100,268.0,70.4,6,23
308292,2022-08-23 06:20:00,404889,80,0,239.0,67.2,6,23
308294,2022-08-23 06:20:00,404891,80,100,215.0,71.3,6,23
308295,2022-08-23 06:20:00,404892,80,100,227.0,70.7,6,23
308297,2022-08-23 06:20:00,404894,80,0,157.0,68.6,6,23
308299,2022-08-23 06:20:00,404896,80,100,233.0,69.2,6,23
308300,2022-08-23 06:20:00,404897,80,100,228.0,70.2,6,23
308301,2022-08-23 06:20:00,404898,80,0,274.0,66.9,6,23
308302,2022-08-23 06:20:00,404899,80,0,270.0,65.7,6,23
308304,2022-08-23 06:20:00,404906,80,0,250.0,66.1,6,23
308306,2022-08-23 06:20:00,404908,80,0,229.0,66.5,6,23
308308,2022-08-23 06:20:00,404910,80,0,270.0,67.0,6,23
308310,2022-08-23 06:20:00,404912,80,20,172.0,69.7,6,23
308312,2022-08-23 06:20:00,404914,80,0,254.0,65.8,6,23
308319,2022-08-23 06:20:00,404921,80,80,134.0,66.2,6,23
308321,2022-08-23 06:20:00,404923,80,0,284.0,65.7,6,23
309796,2022-08-23 06:20:00,420340,80,0,284.0,66.5,6,23
310865,2022-08-23 06:25:00,401546,80,80,310.0,69.4,6,23
311657,2022-08-23 06:25:00,402814,80,0,253.0,67.3,6,23
311658,2022-08-23 06:25:00,402815,80,0,253.0,67.3,6,23
311659,2022-08-23 06:25:00,402816,80,0,253.0,67.3,6,23
311660,2022-08-23 06:25:00,402817,80,0,253.0,67.3,6,23
312216,2022-08-23 06:25:00,404400,80,100,287.0,68.2,6,23
312315,2022-08-23 06:25:00,404885,80,0,253.0,67.3,6,23
312316,2022-08-23 06:25:00,404886,80,100,264.0,70.9,6,23
312319,2022-08-23 06:25:00,404889,80,0,253.0,67.3,6,23
312321,2022-08-23 06:25:00,404891,80,100,248.0,70.9,6,23
312322,2022-08-23 06:25:00,404892,80,100,286.0,70.1,6,23
312324,2022-08-23 06:25:00,404894,80,0,153.0,68.2,6,23
312326,2022-08-23 06:25:00,404896,80,100,235.0,69.7,6,23
312327,2022-08-23 06:25:00,404897,80,100,282.0,70.1,6,23
312328,2022-08-23 06:25:00,404898,80,0,328.0,66.7,6,23
312329,2022-08-23 06:25:00,404899,80,0,330.0,65.6,6,23
312331,2022-08-23 06:25:00,404906,80,0,280.0,65.8,6,23
