,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
289362,2022-02-10 06:00:00,401546,80,80,200.0,72.2,6,10
290154,2022-02-10 06:00:00,402814,80,0,189.0,68.4,6,10
290155,2022-02-10 06:00:00,402815,80,20,166.0,68.3,6,10
290156,2022-02-10 06:00:00,402816,80,0,189.0,68.4,6,10
290157,2022-02-10 06:00:00,402817,80,20,177.0,64.8,6,10
290713,2022-02-10 06:00:00,404400,80,100,168.0,71.7,6,10
290812,2022-02-10 06:00:00,404885,80,100,150.0,71.0,6,10
290813,2022-02-10 06:00:00,404886,80,100,173.0,72.7,6,10
290816,2022-02-10 06:00:00,404889,80,0,189.0,68.4,6,10
290818,2022-02-10 06:00:00,404891,80,100,149.0,71.0,6,10
290819,2022-02-10 06:00:00,404892,80,100,162.0,72.0,6,10
290821,2022-02-10 06:00:00,404894,80,100,235.0,61.2,6,10
290823,2022-02-10 06:00:00,404896,80,100,182.0,72.7,6,10
290824,2022-02-10 06:00:00,404897,80,100,161.0,71.3,6,10
290825,2022-02-10 06:00:00,404898,80,100,168.0,72.3,6,10
290826,2022-02-10 06:00:00,404899,80,100,166.0,72.8,6,10
290828,2022-02-10 06:00:00,404906,80,0,198.0,66.1,6,10
290830,2022-02-10 06:00:00,404908,80,0,162.0,66.3,6,10
290832,2022-02-10 06:00:00,404910,80,0,209.0,67.6,6,10
290834,2022-02-10 06:00:00,404912,80,100,166.0,71.9,6,10
290836,2022-02-10 06:00:00,404914,80,0,198.0,65.9,6,10
290843,2022-02-10 06:00:00,404921,80,80,92.0,68.6,6,10
290845,2022-02-10 06:00:00,404923,80,0,192.0,61.9,6,10
292324,2022-02-10 06:00:00,420340,80,100,166.0,72.1,6,10
293370,2022-02-10 06:05:00,401546,80,80,215.0,71.3,6,10
294162,2022-02-10 06:05:00,402814,80,0,200.0,67.7,6,10
294163,2022-02-10 06:05:00,402815,80,20,181.0,67.9,6,10
294164,2022-02-10 06:05:00,402816,80,0,200.0,67.7,6,10
294165,2022-02-10 06:05:00,402817,80,20,172.0,65.4,6,10
294721,2022-02-10 06:05:00,404400,80,100,215.0,72.8,6,10
294820,2022-02-10 06:05:00,404885,80,100,164.0,71.1,6,10
294821,2022-02-10 06:05:00,404886,80,100,195.0,71.8,6,10
294824,2022-02-10 06:05:00,404889,80,0,200.0,67.7,6,10
294826,2022-02-10 06:05:00,404891,80,100,162.0,71.0,6,10
294827,2022-02-10 06:05:00,404892,80,100,202.0,72.1,6,10
294829,2022-02-10 06:05:00,404894,80,100,228.0,64.6,6,10
294831,2022-02-10 06:05:00,404896,80,100,173.0,72.6,6,10
294832,2022-02-10 06:05:00,404897,80,100,201.0,71.7,6,10
294833,2022-02-10 06:05:00,404898,80,100,204.0,71.9,6,10
294834,2022-02-10 06:05:00,404899,80,100,207.0,73.3,6,10
294836,2022-02-10 06:05:00,404906,80,0,219.0,66.1,6,10
294838,2022-02-10 06:05:00,404908,80,0,188.0,66.4,6,10
294840,2022-02-10 06:05:00,404910,80,0,242.0,67.9,6,10
294842,2022-02-10 06:05:00,404912,80,100,202.0,72.2,6,10
294844,2022-02-10 06:05:00,404914,80,0,249.0,65.4,6,10
294851,2022-02-10 06:05:00,404921,80,80,98.0,68.3,6,10
