,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
288139,2022-01-22 06:00:00,401546,80,80,147.0,70.4,6,22
288931,2022-01-22 06:00:00,402814,80,0,121.0,69.3,6,22
288932,2022-01-22 06:00:00,402815,80,20,105.0,69.0,6,22
288933,2022-01-22 06:00:00,402816,80,0,121.0,69.3,6,22
288934,2022-01-22 06:00:00,402817,80,20,136.0,65.9,6,22
289490,2022-01-22 06:00:00,404400,80,100,110.0,70.4,6,22
289589,2022-01-22 06:00:00,404885,80,100,111.0,71.2,6,22
289590,2022-01-22 06:00:00,404886,80,100,123.0,71.7,6,22
289593,2022-01-22 06:00:00,404889,80,0,121.0,69.3,6,22
289595,2022-01-22 06:00:00,404891,80,100,112.0,71.3,6,22
289596,2022-01-22 06:00:00,404892,80,100,129.0,70.8,6,22
289598,2022-01-22 06:00:00,404894,80,100,179.0,62.8,6,22
289600,2022-01-22 06:00:00,404896,80,100,135.0,71.4,6,22
289601,2022-01-22 06:00:00,404897,80,100,129.0,70.5,6,22
289602,2022-01-22 06:00:00,404898,80,100,137.0,70.1,6,22
289603,2022-01-22 06:00:00,404899,80,100,135.0,69.9,6,22
289605,2022-01-22 06:00:00,404906,80,0,151.0,66.1,6,22
289607,2022-01-22 06:00:00,404908,80,0,115.0,66.0,6,22
289609,2022-01-22 06:00:00,404910,80,0,178.0,67.1,6,22
289611,2022-01-22 06:00:00,404912,80,100,127.0,71.0,6,22
289613,2022-01-22 06:00:00,404914,80,0,161.0,65.0,6,22
289620,2022-01-22 06:00:00,404921,80,80,74.0,68.3,6,22
289622,2022-01-22 06:00:00,404923,80,0,151.0,61.5,6,22
291101,2022-01-22 06:00:00,420340,80,100,116.0,71.5,6,22
292130,2022-01-22 06:05:00,401546,80,80,98.0,70.4,6,22
292922,2022-01-22 06:05:00,402814,80,0,127.0,69.1,6,22
292923,2022-01-22 06:05:00,402815,80,20,116.0,68.4,6,22
292924,2022-01-22 06:05:00,402816,80,0,127.0,69.1,6,22
292925,2022-01-22 06:05:00,402817,80,20,159.0,66.4,6,22
293481,2022-01-22 06:05:00,404400,80,100,56.0,71.5,6,22
293580,2022-01-22 06:05:00,404885,80,100,86.0,71.3,6,22
293581,2022-01-22 06:05:00,404886,80,100,108.0,70.7,6,22
293584,2022-01-22 06:05:00,404889,80,0,127.0,69.1,6,22
293586,2022-01-22 06:05:00,404891,80,100,79.0,71.4,6,22
293587,2022-01-22 06:05:00,404892,80,100,83.0,70.8,6,22
293589,2022-01-22 06:05:00,404894,80,100,194.0,58.7,6,22
293591,2022-01-22 06:05:00,404896,80,100,104.0,71.0,6,22
293592,2022-01-22 06:05:00,404897,80,100,65.0,71.4,6,22
293593,2022-01-22 06:05:00,404898,80,100,67.0,71.2,6,22
293594,2022-01-22 06:05:00,404899,80,100,54.0,71.0,6,22
293596,2022-01-22 06:05:00,404906,80,0,121.0,66.1,6,22
293598,2022-01-22 06:05:00,404908,80,0,100.0,66.3,6,22
293600,2022-01-22 06:05:00,404910,80,0,140.0,66.9,6,22
293602,2022-01-22 06:05:00,404912,80,100,85.0,70.9,6,22
293604,2022-01-22 06:05:00,404914,80,0,123.0,64.9,6,22
293611,2022-01-22 06:05:00,404921,80,80,55.0,67.2,6,22
293613,2022-01-22 06:05:00,404923,80,0,120.0,61.5,6,22
295092,2022-01-22 06:05:00,420340,80,100,128.0,70.9,6,22
296121,2022-01-22 06:10:00,401546,80,80,230.0,69.0,6,22
296913,2022-01-22 06:10:00,402814,80,0,138.0,69.2,6,22
296914,2022-01-22 06:10:00,402815,80,20,114.0,68.3,6,22
296915,2022-01-22 06:10:00,402816,80,0,138.0,69.2,6,22
296916,2022-01-22 06:10:00,402817,80,20,191.0,65.3,6,22
297472,2022-01-22 06:10:00,404400,80,100,232.0,68.0,6,22
297571,2022-01-22 06:10:00,404885,80,100,163.0,70.8,6,22
297572,2022-01-22 06:10:00,404886,80,100,197.0,69.4,6,22
297575,2022-01-22 06:10:00,404889,80,0,138.0,69.2,6,22
297577,2022-01-22 06:10:00,404891,80,100,183.0,70.8,6,22
297578,2022-01-22 06:10:00,404892,80,100,204.0,69.8,6,22
297580,2022-01-22 06:10:00,404894,80,100,290.0,66.8,6,22
297582,2022-01-22 06:10:00,404896,80,100,186.0,66.3,6,22
297583,2022-01-22 06:10:00,404897,80,100,224.0,69.7,6,22
297584,2022-01-22 06:10:00,404898,80,100,240.0,69.4,6,22
297585,2022-01-22 06:10:00,404899,80,100,225.0,68.6,6,22
297587,2022-01-22 06:10:00,404906,80,0,229.0,65.8,6,22
297589,2022-01-22 06:10:00,404908,80,0,208.0,66.1,6,22
297591,2022-01-22 06:10:00,404910,80,0,244.0,66.4,6,22
297593,2022-01-22 06:10:00,404912,80,100,202.0,68.7,6,22
297595,2022-01-22 06:10:00,404914,80,0,280.0,64.4,6,22
297602,2022-01-22 06:10:00,404921,80,80,110.0,68.3,6,22
297604,2022-01-22 06:10:00,404923,80,0,210.0,61.3,6,22
299083,2022-01-22 06:10:00,420340,80,100,165.0,70.4,6,22
300112,2022-01-22 06:15:00,401546,80,80,197.0,67.9,6,22
300904,2022-01-22 06:15:00,402814,80,0,149.0,69.3,6,22
300905,2022-01-22 06:15:00,402815,80,20,140.0,69.2,6,22
300906,2022-01-22 06:15:00,402816,80,0,149.0,69.3,6,22
300907,2022-01-22 06:15:00,402817,80,20,170.0,65.6,6,22
301463,2022-01-22 06:15:00,404400,80,100,167.0,68.3,6,22
301562,2022-01-22 06:15:00,404885,80,100,151.0,70.9,6,22
301563,2022-01-22 06:15:00,404886,80,100,182.0,68.6,6,22
301566,2022-01-22 06:15:00,404889,80,0,149.0,69.3,6,22
301568,2022-01-22 06:15:00,404891,80,100,150.0,70.6,6,22
301569,2022-01-22 06:15:00,404892,80,100,168.0,69.4,6,22
301571,2022-01-22 06:15:00,404894,80,100,206.0,67.8,6,22
301573,2022-01-22 06:15:00,404896,80,100,177.0,68.8,6,22
301574,2022-01-22 06:15:00,404897,80,100,160.0,69.5,6,22
301575,2022-01-22 06:15:00,404898,80,100,167.0,68.8,6,22
301576,2022-01-22 06:15:00,404899,80,100,171.0,68.4,6,22
301578,2022-01-22 06:15:00,404906,80,0,213.0,65.8,6,22
301580,2022-01-22 06:15:00,404908,80,0,167.0,66.0,6,22
301582,2022-01-22 06:15:00,404910,80,0,208.0,65.9,6,22
301584,2022-01-22 06:15:00,404912,80,100,169.0,67.0,6,22
301586,2022-01-22 06:15:00,404914,80,0,219.0,64.3,6,22
301593,2022-01-22 06:15:00,404921,80,80,81.0,67.3,6,22
301595,2022-01-22 06:15:00,404923,80,0,196.0,61.6,6,22
303074,2022-01-22 06:15:00,420340,80,100,151.0,70.8,6,22
304103,2022-01-22 06:20:00,401546,80,80,181.0,69.7,6,22
304895,2022-01-22 06:20:00,402814,80,0,157.0,69.4,6,22
304896,2022-01-22 06:20:00,402815,80,20,134.0,68.8,6,22
304897,2022-01-22 06:20:00,402816,80,0,157.0,69.4,6,22
304898,2022-01-22 06:20:00,402817,80,20,183.0,65.4,6,22
305454,2022-01-22 06:20:00,404400,80,100,171.0,69.3,6,22
305553,2022-01-22 06:20:00,404885,80,100,143.0,71.1,6,22
305554,2022-01-22 06:20:00,404886,80,100,159.0,69.8,6,22
305557,2022-01-22 06:20:00,404889,80,0,157.0,69.4,6,22
305559,2022-01-22 06:20:00,404891,80,100,141.0,70.9,6,22
305560,2022-01-22 06:20:00,404892,80,100,157.0,69.9,6,22
305562,2022-01-22 06:20:00,404894,80,100,210.0,63.1,6,22
305564,2022-01-22 06:20:00,404896,80,100,147.0,70.1,6,22
305565,2022-01-22 06:20:00,404897,80,100,162.0,69.7,6,22
305566,2022-01-22 06:20:00,404898,80,100,163.0,69.5,6,22
305567,2022-01-22 06:20:00,404899,80,100,160.0,68.8,6,22
305569,2022-01-22 06:20:00,404906,80,0,211.0,65.9,6,22
305571,2022-01-22 06:20:00,404908,80,0,174.0,66.2,6,22
305573,2022-01-22 06:20:00,404910,80,0,205.0,66.0,6,22
305575,2022-01-22 06:20:00,404912,80,100,163.0,69.1,6,22
305577,2022-01-22 06:20:00,404914,80,0,201.0,64.0,6,22
305584,2022-01-22 06:20:00,404921,80,80,86.0,67.8,6,22
305586,2022-01-22 06:20:00,404923,80,0,206.0,61.5,6,22
307065,2022-01-22 06:20:00,420340,80,100,156.0,70.9,6,22
308094,2022-01-22 06:25:00,401546,80,80,194.0,69.8,6,22
308886,2022-01-22 06:25:00,402814,80,0,168.0,69.6,6,22
308887,2022-01-22 06:25:00,402815,80,20,150.0,69.4,6,22
308888,2022-01-22 06:25:00,402816,80,0,168.0,69.6,6,22
308889,2022-01-22 06:25:00,402817,80,20,201.0,65.4,6,22
309445,2022-01-22 06:25:00,404400,80,100,175.0,69.5,6,22
309544,2022-01-22 06:25:00,404885,80,100,169.0,71.1,6,22
309545,2022-01-22 06:25:00,404886,80,100,192.0,70.7,6,22
309548,2022-01-22 06:25:00,404889,80,0,168.0,69.6,6,22
309550,2022-01-22 06:25:00,404891,80,100,160.0,70.9,6,22
309551,2022-01-22 06:25:00,404892,80,100,177.0,69.9,6,22
309553,2022-01-22 06:25:00,404894,80,100,205.0,67.5,6,22
309555,2022-01-22 06:25:00,404896,80,100,198.0,70.3,6,22
309556,2022-01-22 06:25:00,404897,80,100,155.0,69.3,6,22
309557,2022-01-22 06:25:00,404898,80,100,184.0,70.2,6,22
309558,2022-01-22 06:25:00,404899,80,100,172.0,69.0,6,22
309560,2022-01-22 06:25:00,404906,80,0,240.0,66.0,6,22
309562,2022-01-22 06:25:00,404908,80,0,191.0,66.3,6,22
309564,2022-01-22 06:25:00,404910,80,0,223.0,66.2,6,22
309566,2022-01-22 06:25:00,404912,80,100,173.0,69.8,6,22
309568,2022-01-22 06:25:00,404914,80,0,205.0,64.4,6,22
309575,2022-01-22 06:25:00,404921,80,80,108.0,69.0,6,22
309577,2022-01-22 06:25:00,404923,80,0,234.0,61.4,6,22
311056,2022-01-22 06:25:00,420340,80,100,189.0,71.0,6,22
312085,2022-01-22 06:30:00,401546,80,80,204.0,69.8,6,22
312877,2022-01-22 06:30:00,402814,80,0,171.0,69.5,6,22
