,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
290442,2022-07-10 06:00:00,401546,80,80,122.0,70.7,6,10
291234,2022-07-10 06:00:00,402814,80,0,67.0,69.3,6,10
291235,2022-07-10 06:00:00,402815,80,0,67.0,69.3,6,10
291236,2022-07-10 06:00:00,402816,80,0,67.0,69.3,6,10
291237,2022-07-10 06:00:00,402817,80,0,67.0,69.3,6,10
291793,2022-07-10 06:00:00,404400,80,100,98.0,70.5,6,10
291892,2022-07-10 06:00:00,404885,80,0,67.0,69.3,6,10
291893,2022-07-10 06:00:00,404886,80,100,110.0,70.9,6,10
291896,2022-07-10 06:00:00,404889,80,0,67.0,69.3,6,10
291898,2022-07-10 06:00:00,404891,80,100,91.0,71.2,6,10
291899,2022-07-10 06:00:00,404892,80,100,93.0,71.0,6,10
291901,2022-07-10 06:00:00,404894,80,0,133.0,66.7,6,10
291903,2022-07-10 06:00:00,404896,80,100,98.0,72.4,6,10
291904,2022-07-10 06:00:00,404897,80,100,93.0,70.7,6,10
291905,2022-07-10 06:00:00,404898,80,0,128.0,66.5,6,10
291906,2022-07-10 06:00:00,404899,80,0,143.0,66.8,6,10
291908,2022-07-10 06:00:00,404906,80,0,125.0,65.9,6,10
291910,2022-07-10 06:00:00,404908,80,0,111.0,65.9,6,10
291912,2022-07-10 06:00:00,404910,80,0,148.0,66.7,6,10
291914,2022-07-10 06:00:00,404912,80,20,127.0,67.9,6,10
291916,2022-07-10 06:00:00,404914,80,0,116.0,65.7,6,10
291923,2022-07-10 06:00:00,404921,80,80,56.0,67.2,6,10
291925,2022-07-10 06:00:00,404923,80,0,168.0,66.6,6,10
293402,2022-07-10 06:00:00,420340,80,0,170.0,67.3,6,10
294465,2022-07-10 06:05:00,401546,80,80,143.0,70.6,6,10
295257,2022-07-10 06:05:00,402814,80,0,73.0,69.3,6,10
295258,2022-07-10 06:05:00,402815,80,0,73.0,69.3,6,10
295259,2022-07-10 06:05:00,402816,80,0,73.0,69.3,6,10
295260,2022-07-10 06:05:00,402817,80,0,73.0,69.3,6,10
295816,2022-07-10 06:05:00,404400,80,100,123.0,70.1,6,10
295915,2022-07-10 06:05:00,404885,80,0,73.0,69.3,6,10
295916,2022-07-10 06:05:00,404886,80,100,108.0,70.4,6,10
295919,2022-07-10 06:05:00,404889,80,0,73.0,69.3,6,10
295921,2022-07-10 06:05:00,404891,80,100,101.0,71.2,6,10
295922,2022-07-10 06:05:00,404892,80,100,112.0,70.8,6,10
295924,2022-07-10 06:05:00,404894,80,0,126.0,66.9,6,10
295926,2022-07-10 06:05:00,404896,80,100,114.0,72.5,6,10
295927,2022-07-10 06:05:00,404897,80,100,119.0,70.5,6,10
295928,2022-07-10 06:05:00,404898,80,0,163.0,66.8,6,10
295929,2022-07-10 06:05:00,404899,80,0,155.0,66.5,6,10
295931,2022-07-10 06:05:00,404906,80,0,168.0,66.0,6,10
295933,2022-07-10 06:05:00,404908,80,0,156.0,66.2,6,10
295935,2022-07-10 06:05:00,404910,80,0,170.0,66.9,6,10
295937,2022-07-10 06:05:00,404912,80,20,124.0,68.1,6,10
295939,2022-07-10 06:05:00,404914,80,0,145.0,65.9,6,10
295946,2022-07-10 06:05:00,404921,80,80,59.0,67.2,6,10
295948,2022-07-10 06:05:00,404923,80,0,169.0,66.9,6,10
297425,2022-07-10 06:05:00,420340,80,0,174.0,67.5,6,10
298488,2022-07-10 06:10:00,401546,80,80,157.0,69.5,6,10
299280,2022-07-10 06:10:00,402814,80,0,81.0,69.2,6,10
299281,2022-07-10 06:10:00,402815,80,0,81.0,69.2,6,10
299282,2022-07-10 06:10:00,402816,80,0,81.0,69.2,6,10
299283,2022-07-10 06:10:00,402817,80,0,81.0,69.2,6,10
299839,2022-07-10 06:10:00,404400,80,100,137.0,70.5,6,10
299938,2022-07-10 06:10:00,404885,80,0,81.0,69.2,6,10
299939,2022-07-10 06:10:00,404886,80,100,154.0,71.3,6,10
299942,2022-07-10 06:10:00,404889,80,0,81.0,69.2,6,10
299944,2022-07-10 06:10:00,404891,80,100,138.0,70.9,6,10
299945,2022-07-10 06:10:00,404892,80,100,137.0,70.5,6,10
299947,2022-07-10 06:10:00,404894,80,0,133.0,66.9,6,10
299949,2022-07-10 06:10:00,404896,80,100,159.0,72.7,6,10
299950,2022-07-10 06:10:00,404897,80,100,126.0,70.8,6,10
299951,2022-07-10 06:10:00,404898,80,0,184.0,67.0,6,10
299952,2022-07-10 06:10:00,404899,80,0,171.0,66.9,6,10
299954,2022-07-10 06:10:00,404906,80,0,176.0,66.3,6,10
299956,2022-07-10 06:10:00,404908,80,0,158.0,66.4,6,10
299958,2022-07-10 06:10:00,404910,80,0,193.0,66.8,6,10
299960,2022-07-10 06:10:00,404912,80,20,136.0,68.4,6,10
299962,2022-07-10 06:10:00,404914,80,0,159.0,65.9,6,10
299969,2022-07-10 06:10:00,404921,80,80,74.0,67.4,6,10
299971,2022-07-10 06:10:00,404923,80,0,204.0,67.2,6,10
301448,2022-07-10 06:10:00,420340,80,0,215.0,67.7,6,10
302511,2022-07-10 06:15:00,401546,80,80,180.0,70.3,6,10
303303,2022-07-10 06:15:00,402814,80,0,87.0,69.3,6,10
303304,2022-07-10 06:15:00,402815,80,0,87.0,69.3,6,10
303305,2022-07-10 06:15:00,402816,80,0,87.0,69.3,6,10
303306,2022-07-10 06:15:00,402817,80,0,87.0,69.3,6,10
303862,2022-07-10 06:15:00,404400,80,100,168.0,70.4,6,10
303961,2022-07-10 06:15:00,404885,80,0,87.0,69.3,6,10
303962,2022-07-10 06:15:00,404886,80,100,148.0,70.6,6,10
303965,2022-07-10 06:15:00,404889,80,0,87.0,69.3,6,10
303967,2022-07-10 06:15:00,404891,80,100,141.0,70.9,6,10
303968,2022-07-10 06:15:00,404892,80,100,162.0,70.8,6,10
303970,2022-07-10 06:15:00,404894,80,0,126.0,67.0,6,10
303972,2022-07-10 06:15:00,404896,80,100,138.0,73.9,6,10
303973,2022-07-10 06:15:00,404897,80,100,162.0,71.5,6,10
303974,2022-07-10 06:15:00,404898,80,0,215.0,67.7,6,10
303975,2022-07-10 06:15:00,404899,80,0,198.0,66.8,6,10
303977,2022-07-10 06:15:00,404906,80,0,193.0,66.3,6,10
303979,2022-07-10 06:15:00,404908,80,0,175.0,66.5,6,10
303981,2022-07-10 06:15:00,404910,80,0,213.0,67.2,6,10
303983,2022-07-10 06:15:00,404912,80,20,133.0,68.6,6,10
303985,2022-07-10 06:15:00,404914,80,0,197.0,67.0,6,10
303992,2022-07-10 06:15:00,404921,80,80,71.0,67.3,6,10
303994,2022-07-10 06:15:00,404923,80,0,203.0,66.9,6,10
305471,2022-07-10 06:15:00,420340,80,0,201.0,68.0,6,10
306534,2022-07-10 06:20:00,401546,80,80,132.0,69.1,6,10
307326,2022-07-10 06:20:00,402814,80,0,95.0,69.3,6,10
307327,2022-07-10 06:20:00,402815,80,0,95.0,69.3,6,10
307328,2022-07-10 06:20:00,402816,80,0,95.0,69.3,6,10
307329,2022-07-10 06:20:00,402817,80,0,95.0,69.3,6,10
307885,2022-07-10 06:20:00,404400,80,100,165.0,68.7,6,10
307984,2022-07-10 06:20:00,404885,80,0,95.0,69.3,6,10
307985,2022-07-10 06:20:00,404886,80,100,152.0,69.3,6,10
307988,2022-07-10 06:20:00,404889,80,0,95.0,69.3,6,10
307990,2022-07-10 06:20:00,404891,80,100,132.0,71.2,6,10
307991,2022-07-10 06:20:00,404892,80,100,136.0,70.6,6,10
307993,2022-07-10 06:20:00,404894,80,0,126.0,67.3,6,10
307995,2022-07-10 06:20:00,404896,80,100,137.0,67.2,6,10
307996,2022-07-10 06:20:00,404897,80,100,130.0,71.0,6,10
307997,2022-07-10 06:20:00,404898,80,0,181.0,67.0,6,10
307998,2022-07-10 06:20:00,404899,80,0,134.0,65.8,6,10
308000,2022-07-10 06:20:00,404906,80,0,168.0,66.2,6,10
308002,2022-07-10 06:20:00,404908,80,0,151.0,66.4,6,10
308004,2022-07-10 06:20:00,404910,80,0,190.0,66.8,6,10
308006,2022-07-10 06:20:00,404912,80,20,130.0,68.5,6,10
308008,2022-07-10 06:20:00,404914,80,0,164.0,65.9,6,10
308015,2022-07-10 06:20:00,404921,80,80,69.0,66.8,6,10
308017,2022-07-10 06:20:00,404923,80,0,212.0,65.9,6,10
309494,2022-07-10 06:20:00,420340,80,0,198.0,66.2,6,10
310557,2022-07-10 06:25:00,401546,80,80,155.0,70.5,6,10
311349,2022-07-10 06:25:00,402814,80,0,101.0,69.4,6,10
311350,2022-07-10 06:25:00,402815,80,0,101.0,69.4,6,10
311351,2022-07-10 06:25:00,402816,80,0,101.0,69.4,6,10
311352,2022-07-10 06:25:00,402817,80,0,101.0,69.4,6,10
311908,2022-07-10 06:25:00,404400,80,100,167.0,69.2,6,10
312007,2022-07-10 06:25:00,404885,80,0,101.0,69.4,6,10
312008,2022-07-10 06:25:00,404886,80,100,150.0,70.3,6,10
312011,2022-07-10 06:25:00,404889,80,0,101.0,69.4,6,10
312013,2022-07-10 06:25:00,404891,80,100,138.0,71.2,6,10
312014,2022-07-10 06:25:00,404892,80,100,139.0,70.6,6,10
312016,2022-07-10 06:25:00,404894,80,0,138.0,67.2,6,10
312018,2022-07-10 06:25:00,404896,80,100,147.0,70.1,6,10
312019,2022-07-10 06:25:00,404897,80,100,143.0,71.0,6,10
312020,2022-07-10 06:25:00,404898,80,0,189.0,67.2,6,10
312021,2022-07-10 06:25:00,404899,80,0,173.0,66.8,6,10
312023,2022-07-10 06:25:00,404906,80,0,173.0,66.3,6,10
312025,2022-07-10 06:25:00,404908,80,0,155.0,66.5,6,10
312027,2022-07-10 06:25:00,404910,80,0,197.0,67.1,6,10
312029,2022-07-10 06:25:00,404912,80,20,141.0,68.6,6,10
312031,2022-07-10 06:25:00,404914,80,0,171.0,66.4,6,10
312038,2022-07-10 06:25:00,404921,80,80,66.0,67.2,6,10
312040,2022-07-10 06:25:00,404923,80,0,198.0,66.5,6,10
313517,2022-07-10 06:25:00,420340,80,0,198.0,67.1,6,10
314580,2022-07-10 06:30:00,401546,80,80,131.0,68.8,6,10
315372,2022-07-10 06:30:00,402814,80,0,104.0,69.4,6,10
315373,2022-07-10 06:30:00,402815,80,0,104.0,69.4,6,10
315374,2022-07-10 06:30:00,402816,80,0,104.0,69.4,6,10
315375,2022-07-10 06:30:00,402817,80,0,104.0,69.4,6,10
315931,2022-07-10 06:30:00,404400,80,100,146.0,70.0,6,10
316030,2022-07-10 06:30:00,404885,80,0,104.0,69.4,6,10
316031,2022-07-10 06:30:00,404886,80,100,122.0,70.9,6,10
316034,2022-07-10 06:30:00,404889,80,0,104.0,69.4,6,10
316036,2022-07-10 06:30:00,404891,80,100,113.0,70.8,6,10
316037,2022-07-10 06:30:00,404892,80,100,118.0,70.5,6,10
316039,2022-07-10 06:30:00,404894,80,0,142.0,67.2,6,10
316041,2022-07-10 06:30:00,404896,80,100,106.0,71.3,6,10
316042,2022-07-10 06:30:00,404897,80,100,111.0,70.8,6,10
316043,2022-07-10 06:30:00,404898,80,0,165.0,66.9,6,10
316044,2022-07-10 06:30:00,404899,80,0,140.0,66.8,6,10
316046,2022-07-10 06:30:00,404906,80,0,151.0,66.1,6,10
316048,2022-07-10 06:30:00,404908,80,0,135.0,66.2,6,10
316050,2022-07-10 06:30:00,404910,80,0,178.0,67.0,6,10
316052,2022-07-10 06:30:00,404912,80,20,140.0,68.4,6,10
316054,2022-07-10 06:30:00,404914,80,0,149.0,66.0,6,10
316061,2022-07-10 06:30:00,404921,80,80,58.0,67.2,6,10
316063,2022-07-10 06:30:00,404923,80,0,179.0,67.2,6,10
317540,2022-07-10 06:30:00,420340,80,0,164.0,66.7,6,10
318603,2022-07-10 06:35:00,401546,80,80,153.0,69.8,6,10
319395,2022-07-10 06:35:00,402814,80,0,110.0,69.4,6,10
319396,2022-07-10 06:35:00,402815,80,0,110.0,69.4,6,10
319397,2022-07-10 06:35:00,402816,80,0,110.0,69.4,6,10
319398,2022-07-10 06:35:00,402817,80,0,110.0,69.4,6,10
319954,2022-07-10 06:35:00,404400,80,100,179.0,70.1,6,10
320053,2022-07-10 06:35:00,404885,80,0,110.0,69.4,6,10
320054,2022-07-10 06:35:00,404886,80,100,173.0,70.6,6,10
320057,2022-07-10 06:35:00,404889,80,0,110.0,69.4,6,10
320059,2022-07-10 06:35:00,404891,80,100,148.0,70.8,6,10
320060,2022-07-10 06:35:00,404892,80,100,169.0,70.2,6,10
320062,2022-07-10 06:35:00,404894,80,0,142.0,67.1,6,10
320064,2022-07-10 06:35:00,404896,80,100,165.0,72.2,6,10
320065,2022-07-10 06:35:00,404897,80,100,166.0,70.6,6,10
320066,2022-07-10 06:35:00,404898,80,0,225.0,66.9,6,10
320067,2022-07-10 06:35:00,404899,80,0,170.0,66.7,6,10
320069,2022-07-10 06:35:00,404906,80,0,188.0,66.0,6,10
320071,2022-07-10 06:35:00,404908,80,0,169.0,66.3,6,10
320073,2022-07-10 06:35:00,404910,80,0,220.0,66.9,6,10
320075,2022-07-10 06:35:00,404912,80,20,148.0,68.6,6,10
320077,2022-07-10 06:35:00,404914,80,0,211.0,66.0,6,10
320084,2022-07-10 06:35:00,404921,80,80,84.0,67.1,6,10
320086,2022-07-10 06:35:00,404923,80,0,221.0,66.7,6,10
321563,2022-07-10 06:35:00,420340,80,0,216.0,68.0,6,10
322626,2022-07-10 06:40:00,401546,80,80,191.0,69.7,6,10
323418,2022-07-10 06:40:00,402814,80,0,119.0,69.4,6,10
323419,2022-07-10 06:40:00,402815,80,0,119.0,69.4,6,10
323420,2022-07-10 06:40:00,402816,80,0,119.0,69.4,6,10
323421,2022-07-10 06:40:00,402817,80,0,119.0,69.4,6,10
323977,2022-07-10 06:40:00,404400,80,100,194.0,70.6,6,10
324076,2022-07-10 06:40:00,404885,80,0,119.0,69.4,6,10
324077,2022-07-10 06:40:00,404886,80,100,172.0,71.3,6,10
324080,2022-07-10 06:40:00,404889,80,0,119.0,69.4,6,10
324082,2022-07-10 06:40:00,404891,80,100,164.0,71.4,6,10
324083,2022-07-10 06:40:00,404892,80,100,181.0,70.8,6,10
324085,2022-07-10 06:40:00,404894,80,0,133.0,67.3,6,10
324087,2022-07-10 06:40:00,404896,80,100,177.0,70.3,6,10
324088,2022-07-10 06:40:00,404897,80,100,186.0,71.1,6,10
324089,2022-07-10 06:40:00,404898,80,0,241.0,67.4,6,10
324090,2022-07-10 06:40:00,404899,80,0,212.0,68.0,6,10
324092,2022-07-10 06:40:00,404906,80,0,192.0,66.2,6,10
