,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
289362,2022-03-01 06:00:00,401546,80,80,189.0,70.6,6,1
290154,2022-03-01 06:00:00,402814,80,0,179.0,68.3,6,1
290155,2022-03-01 06:00:00,402815,80,0,158.0,68.2,6,1
290156,2022-03-01 06:00:00,402816,80,0,179.0,68.3,6,1
290157,2022-03-01 06:00:00,402817,80,20,166.0,65.3,6,1
290713,2022-03-01 06:00:00,404400,80,100,177.0,70.2,6,1
290812,2022-03-01 06:00:00,404885,80,100,151.0,70.3,6,1
290813,2022-03-01 06:00:00,404886,80,100,191.0,70.4,6,1
290816,2022-03-01 06:00:00,404889,80,0,179.0,68.3,6,1
290818,2022-03-01 06:00:00,404891,80,100,128.0,70.8,6,1
290819,2022-03-01 06:00:00,404892,80,100,152.0,70.7,6,1
290821,2022-03-01 06:00:00,404894,80,100,228.0,65.3,6,1
290823,2022-03-01 06:00:00,404896,80,100,179.0,69.4,6,1
290824,2022-03-01 06:00:00,404897,80,100,175.0,70.9,6,1
290825,2022-03-01 06:00:00,404898,80,100,188.0,71.2,6,1
290826,2022-03-01 06:00:00,404899,80,100,179.0,70.4,6,1
290828,2022-03-01 06:00:00,404906,80,0,190.0,65.6,6,1
290830,2022-03-01 06:00:00,404908,80,0,129.0,65.4,6,1
290832,2022-03-01 06:00:00,404910,80,0,207.0,67.0,6,1
290834,2022-03-01 06:00:00,404912,80,100,158.0,71.2,6,1
290836,2022-03-01 06:00:00,404914,80,0,214.0,67.2,6,1
290843,2022-03-01 06:00:00,404921,80,100,63.0,71.5,6,1
290845,2022-03-01 06:00:00,404923,80,0,196.0,61.2,6,1
292324,2022-03-01 06:00:00,420340,80,100,167.0,70.7,6,1
293370,2022-03-01 06:05:00,401546,80,80,249.0,70.2,6,1
294162,2022-03-01 06:05:00,402814,80,0,190.0,67.5,6,1
294163,2022-03-01 06:05:00,402815,80,0,171.0,67.8,6,1
294164,2022-03-01 06:05:00,402816,80,0,190.0,67.5,6,1
294165,2022-03-01 06:05:00,402817,80,20,215.0,65.7,6,1
294721,2022-03-01 06:05:00,404400,80,100,213.0,70.1,6,1
294820,2022-03-01 06:05:00,404885,80,100,186.0,70.6,6,1
294821,2022-03-01 06:05:00,404886,80,100,218.0,69.9,6,1
294824,2022-03-01 06:05:00,404889,80,0,190.0,67.5,6,1
294826,2022-03-01 06:05:00,404891,80,100,193.0,70.8,6,1
294827,2022-03-01 06:05:00,404892,80,100,219.0,70.2,6,1
294829,2022-03-01 06:05:00,404894,80,100,278.0,62.1,6,1
294831,2022-03-01 06:05:00,404896,80,100,213.0,69.3,6,1
294832,2022-03-01 06:05:00,404897,80,100,201.0,70.6,6,1
294833,2022-03-01 06:05:00,404898,80,100,209.0,71.0,6,1
294834,2022-03-01 06:05:00,404899,80,100,206.0,70.2,6,1
294836,2022-03-01 06:05:00,404906,80,0,231.0,65.9,6,1
294838,2022-03-01 06:05:00,404908,80,0,201.0,66.4,6,1
294840,2022-03-01 06:05:00,404910,80,0,258.0,67.1,6,1
294842,2022-03-01 06:05:00,404912,80,100,222.0,70.5,6,1
294844,2022-03-01 06:05:00,404914,80,0,232.0,68.1,6,1
294851,2022-03-01 06:05:00,404921,80,100,76.0,71.0,6,1
294853,2022-03-01 06:05:00,404923,80,0,219.0,61.0,6,1
296332,2022-03-01 06:05:00,420340,80,100,212.0,71.0,6,1
297378,2022-03-01 06:10:00,401546,80,80,260.0,68.5,6,1
298170,2022-03-01 06:10:00,402814,80,0,207.0,67.3,6,1
298171,2022-03-01 06:10:00,402815,80,0,200.0,68.4,6,1
298172,2022-03-01 06:10:00,402816,80,0,207.0,67.3,6,1
298173,2022-03-01 06:10:00,402817,80,20,215.0,65.5,6,1
298729,2022-03-01 06:10:00,404400,80,100,256.0,69.8,6,1
298828,2022-03-01 06:10:00,404885,80,100,205.0,70.9,6,1
298829,2022-03-01 06:10:00,404886,80,100,240.0,70.3,6,1
298832,2022-03-01 06:10:00,404889,80,0,207.0,67.3,6,1
298834,2022-03-01 06:10:00,404891,80,100,205.0,71.1,6,1
298835,2022-03-01 06:10:00,404892,80,100,251.0,69.9,6,1
298837,2022-03-01 06:10:00,404894,80,100,370.0,61.6,6,1
298839,2022-03-01 06:10:00,404896,80,100,242.0,72.0,6,1
298840,2022-03-01 06:10:00,404897,80,100,258.0,70.9,6,1
298841,2022-03-01 06:10:00,404898,80,100,257.0,70.1,6,1
298842,2022-03-01 06:10:00,404899,80,100,248.0,68.9,6,1
298844,2022-03-01 06:10:00,404906,80,0,252.0,65.5,6,1
298846,2022-03-01 06:10:00,404908,80,0,212.0,66.0,6,1
298848,2022-03-01 06:10:00,404910,80,0,283.0,66.8,6,1
298850,2022-03-01 06:10:00,404912,80,100,240.0,70.5,6,1
298852,2022-03-01 06:10:00,404914,80,0,276.0,67.0,6,1
298859,2022-03-01 06:10:00,404921,80,100,76.0,71.6,6,1
298861,2022-03-01 06:10:00,404923,80,0,240.0,61.0,6,1
300340,2022-03-01 06:10:00,420340,80,100,210.0,71.4,6,1
301386,2022-03-01 06:15:00,401546,80,80,249.0,68.7,6,1
302178,2022-03-01 06:15:00,402814,80,0,225.0,67.2,6,1
302179,2022-03-01 06:15:00,402815,80,0,207.0,67.8,6,1
302180,2022-03-01 06:15:00,402816,80,0,225.0,67.2,6,1
302181,2022-03-01 06:15:00,402817,80,20,216.0,65.4,6,1
302737,2022-03-01 06:15:00,404400,80,100,222.0,69.0,6,1
302836,2022-03-01 06:15:00,404885,80,100,201.0,70.4,6,1
302837,2022-03-01 06:15:00,404886,80,100,231.0,70.9,6,1
302840,2022-03-01 06:15:00,404889,80,0,225.0,67.2,6,1
302842,2022-03-01 06:15:00,404891,80,100,201.0,70.5,6,1
302843,2022-03-01 06:15:00,404892,80,100,221.0,70.2,6,1
302845,2022-03-01 06:15:00,404894,80,100,256.0,68.5,6,1
302847,2022-03-01 06:15:00,404896,80,100,217.0,72.1,6,1
302848,2022-03-01 06:15:00,404897,80,100,217.0,70.0,6,1
302849,2022-03-01 06:15:00,404898,80,100,219.0,69.3,6,1
302850,2022-03-01 06:15:00,404899,80,100,207.0,68.0,6,1
302852,2022-03-01 06:15:00,404906,80,0,237.0,65.8,6,1
302854,2022-03-01 06:15:00,404908,80,0,209.0,66.3,6,1
302856,2022-03-01 06:15:00,404910,80,0,257.0,66.6,6,1
302858,2022-03-01 06:15:00,404912,80,100,222.0,71.0,6,1
302860,2022-03-01 06:15:00,404914,80,0,261.0,66.7,6,1
302867,2022-03-01 06:15:00,404921,80,100,69.0,71.2,6,1
302869,2022-03-01 06:15:00,404923,80,0,241.0,61.2,6,1
304348,2022-03-01 06:15:00,420340,80,100,212.0,70.8,6,1
305394,2022-03-01 06:20:00,401546,80,80,267.0,68.3,6,1
306186,2022-03-01 06:20:00,402814,80,0,239.0,67.2,6,1
306187,2022-03-01 06:20:00,402815,80,0,215.0,67.3,6,1
306188,2022-03-01 06:20:00,402816,80,0,239.0,67.2,6,1
306189,2022-03-01 06:20:00,402817,80,20,221.0,65.3,6,1
306745,2022-03-01 06:20:00,404400,80,100,252.0,69.6,6,1
306844,2022-03-01 06:20:00,404885,80,100,207.0,70.8,6,1
306845,2022-03-01 06:20:00,404886,80,100,246.0,70.8,6,1
306848,2022-03-01 06:20:00,404889,80,0,239.0,67.2,6,1
306850,2022-03-01 06:20:00,404891,80,100,199.0,70.6,6,1
306851,2022-03-01 06:20:00,404892,80,100,234.0,70.6,6,1
306853,2022-03-01 06:20:00,404894,80,100,287.0,62.3,6,1
306855,2022-03-01 06:20:00,404896,80,100,252.0,73.0,6,1
306856,2022-03-01 06:20:00,404897,80,100,237.0,70.7,6,1
306857,2022-03-01 06:20:00,404898,80,100,257.0,70.8,6,1
306858,2022-03-01 06:20:00,404899,80,100,257.0,68.7,6,1
306860,2022-03-01 06:20:00,404906,80,0,242.0,66.1,6,1
306862,2022-03-01 06:20:00,404908,80,0,200.0,66.3,6,1
306864,2022-03-01 06:20:00,404910,80,0,278.0,66.2,6,1
306866,2022-03-01 06:20:00,404912,80,100,235.0,71.1,6,1
306868,2022-03-01 06:20:00,404914,80,0,294.0,65.9,6,1
306875,2022-03-01 06:20:00,404921,80,100,77.0,71.5,6,1
306877,2022-03-01 06:20:00,404923,80,0,236.0,61.5,6,1
308356,2022-03-01 06:20:00,420340,80,100,225.0,71.8,6,1
309402,2022-03-01 06:25:00,401546,80,80,280.0,67.8,6,1
310194,2022-03-01 06:25:00,402814,80,0,253.0,67.3,6,1
310195,2022-03-01 06:25:00,402815,80,0,231.0,67.5,6,1
310196,2022-03-01 06:25:00,402816,80,0,253.0,67.3,6,1
310197,2022-03-01 06:25:00,402817,80,20,220.0,65.8,6,1
310753,2022-03-01 06:25:00,404400,80,100,289.0,70.9,6,1
310852,2022-03-01 06:25:00,404885,80,100,225.0,71.0,6,1
310853,2022-03-01 06:25:00,404886,80,100,275.0,70.6,6,1
310856,2022-03-01 06:25:00,404889,80,0,253.0,67.3,6,1
310858,2022-03-01 06:25:00,404891,80,100,229.0,71.3,6,1
310859,2022-03-01 06:25:00,404892,80,100,265.0,71.2,6,1
310861,2022-03-01 06:25:00,404894,80,100,319.0,68.0,6,1
310863,2022-03-01 06:25:00,404896,80,100,220.0,73.8,6,1
310864,2022-03-01 06:25:00,404897,80,100,279.0,71.4,6,1
310865,2022-03-01 06:25:00,404898,80,100,281.0,71.6,6,1
310866,2022-03-01 06:25:00,404899,80,100,273.0,69.7,6,1
310868,2022-03-01 06:25:00,404906,80,0,269.0,66.1,6,1
310870,2022-03-01 06:25:00,404908,80,0,234.0,66.8,6,1
310872,2022-03-01 06:25:00,404910,80,0,291.0,67.0,6,1
310874,2022-03-01 06:25:00,404912,80,100,264.0,70.6,6,1
310876,2022-03-01 06:25:00,404914,80,0,301.0,66.2,6,1
310883,2022-03-01 06:25:00,404921,80,100,75.0,70.8,6,1
310885,2022-03-01 06:25:00,404923,80,0,260.0,61.1,6,1
312364,2022-03-01 06:25:00,420340,80,100,228.0,72.2,6,1
313410,2022-03-01 06:30:00,401546,80,80,271.0,67.5,6,1
314202,2022-03-01 06:30:00,402814,80,0,262.0,67.2,6,1
314203,2022-03-01 06:30:00,402815,80,0,244.0,67.7,6,1
314204,2022-03-01 06:30:00,402816,80,0,262.0,67.2,6,1
314205,2022-03-01 06:30:00,402817,80,20,241.0,66.0,6,1
314761,2022-03-01 06:30:00,404400,80,100,247.0,69.2,6,1
314860,2022-03-01 06:30:00,404885,80,100,218.0,70.4,6,1
314861,2022-03-01 06:30:00,404886,80,100,253.0,71.7,6,1
