,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
290442,2022-05-24 06:00:00,401546,80,0,236.0,65.8,6,24
291234,2022-05-24 06:00:00,402814,80,0,179.0,68.3,6,24
291235,2022-05-24 06:00:00,402815,80,0,179.0,68.3,6,24
291236,2022-05-24 06:00:00,402816,80,0,179.0,68.3,6,24
291237,2022-05-24 06:00:00,402817,80,0,163.0,67.4,6,24
291793,2022-05-24 06:00:00,404400,80,100,208.0,69.9,6,24
291892,2022-05-24 06:00:00,404885,80,0,164.0,71.3,6,24
291893,2022-05-24 06:00:00,404886,80,0,157.0,64.7,6,24
291896,2022-05-24 06:00:00,404889,80,0,179.0,68.3,6,24
291898,2022-05-24 06:00:00,404891,80,100,164.0,71.3,6,24
291899,2022-05-24 06:00:00,404892,80,100,196.0,71.1,6,24
291901,2022-05-24 06:00:00,404894,80,0,264.0,64.5,6,24
291903,2022-05-24 06:00:00,404896,80,0,137.0,58.3,6,24
291904,2022-05-24 06:00:00,404897,80,100,203.0,70.7,6,24
291905,2022-05-24 06:00:00,404898,80,0,272.0,66.7,6,24
291906,2022-05-24 06:00:00,404899,80,0,198.0,70.9,6,24
291908,2022-05-24 06:00:00,404906,80,0,209.0,66.0,6,24
291910,2022-05-24 06:00:00,404908,80,0,191.0,66.3,6,24
291912,2022-05-24 06:00:00,404910,80,0,242.0,67.4,6,24
291914,2022-05-24 06:00:00,404912,80,0,240.0,67.4,6,24
291916,2022-05-24 06:00:00,404914,80,0,250.0,65.3,6,24
291923,2022-05-24 06:00:00,404921,80,80,99.0,66.6,6,24
291925,2022-05-24 06:00:00,404923,80,0,179.0,68.3,6,24
293402,2022-05-24 06:00:00,420340,80,0,164.0,71.4,6,24
294465,2022-05-24 06:05:00,401546,80,0,197.0,63.5,6,24
295257,2022-05-24 06:05:00,402814,80,0,190.0,67.5,6,24
295258,2022-05-24 06:05:00,402815,80,0,190.0,67.5,6,24
295259,2022-05-24 06:05:00,402816,80,0,190.0,67.5,6,24
295260,2022-05-24 06:05:00,402817,80,0,171.0,66.7,6,24
295816,2022-05-24 06:05:00,404400,80,100,199.0,68.9,6,24
295915,2022-05-24 06:05:00,404885,80,0,144.0,71.2,6,24
295916,2022-05-24 06:05:00,404886,80,0,132.0,65.9,6,24
295919,2022-05-24 06:05:00,404889,80,0,190.0,67.5,6,24
295921,2022-05-24 06:05:00,404891,80,100,166.0,70.6,6,24
295922,2022-05-24 06:05:00,404892,80,100,204.0,70.8,6,24
295924,2022-05-24 06:05:00,404894,80,0,244.0,65.2,6,24
295926,2022-05-24 06:05:00,404896,80,0,114.0,58.6,6,24
295927,2022-05-24 06:05:00,404897,80,100,198.0,70.3,6,24
295928,2022-05-24 06:05:00,404898,80,0,233.0,66.5,6,24
295929,2022-05-24 06:05:00,404899,80,0,175.0,70.9,6,24
295931,2022-05-24 06:05:00,404906,80,0,195.0,65.5,6,24
295933,2022-05-24 06:05:00,404908,80,0,177.0,65.8,6,24
295935,2022-05-24 06:05:00,404910,80,0,257.0,67.4,6,24
