,Unnamed: 0,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
0,290442,2022-04-28 06:00:00,401546,80,0,227.0,67.1,6,28
1,291234,2022-04-28 06:00:00,402814,80,0,189.0,68.4,6,28
2,291235,2022-04-28 06:00:00,402815,80,0,189.0,68.4,6,28
3,291236,2022-04-28 06:00:00,402816,80,0,189.0,68.4,6,28
4,291237,2022-04-28 06:00:00,402817,80,20,192.0,65.9,6,28
5,291793,2022-04-28 06:00:00,404400,80,0,223.0,66.7,6,28
6,291892,2022-04-28 06:00:00,404885,80,100,124.0,71.1,6,28
7,291893,2022-04-28 06:00:00,404886,80,0,105.0,67.1,6,28
8,291896,2022-04-28 06:00:00,404889,80,0,115.0,64.1,6,28
9,291898,2022-04-28 06:00:00,404891,80,100,154.0,71.2,6,28
10,291899,2022-04-28 06:00:00,404892,80,100,173.0,70.9,6,28
11,291901,2022-04-28 06:00:00,404894,80,100,260.0,65.4,6,28
12,291903,2022-04-28 06:00:00,404896,80,0,97.0,59.3,6,28
13,291904,2022-04-28 06:00:00,404897,80,100,178.0,71.4,6,28
14,291905,2022-04-28 06:00:00,404898,80,100,128.0,71.3,6,28
15,291906,2022-04-28 06:00:00,404899,80,100,179.0,70.4,6,28
16,291908,2022-04-28 06:00:00,404906,80,0,207.0,66.2,6,28
17,291910,2022-04-28 06:00:00,404908,80,0,190.0,66.4,6,28
18,291912,2022-04-28 06:00:00,404910,80,20,162.0,65.8,6,28
19,291914,2022-04-28 06:00:00,404912,80,100,171.0,70.0,6,28
20,291916,2022-04-28 06:00:00,404914,80,0,217.0,67.1,6,28
21,291923,2022-04-28 06:00:00,404921,80,100,52.0,70.9,6,28
22,291925,2022-04-28 06:00:00,404923,80,0,182.0,61.5,6,28
23,293402,2022-04-28 06:00:00,420340,80,100,163.0,70.4,6,28
24,294465,2022-04-28 06:05:00,401546,80,0,205.0,67.4,6,28
25,295257,2022-04-28 06:05:00,402814,80,0,200.0,67.7,6,28
26,295258,2022-04-28 06:05:00,402815,80,0,200.0,67.7,6,28
27,295259,2022-04-28 06:05:00,402816,80,0,200.0,67.7,6,28
28,295260,2022-04-28 06:05:00,402817,80,20,201.0,66.4,6,28
29,295816,2022-04-28 06:05:00,404400,80,0,174.0,67.0,6,28
30,295915,2022-04-28 06:05:00,404885,80,100,111.0,71.0,6,28
31,295916,2022-04-28 06:05:00,404886,80,0,117.0,67.4,6,28
32,295919,2022-04-28 06:05:00,404889,80,0,122.0,64.2,6,28
33,295921,2022-04-28 06:05:00,404891,80,100,166.0,70.9,6,28
34,295922,2022-04-28 06:05:00,404892,80,100,183.0,71.4,6,28
35,295924,2022-04-28 06:05:00,404894,80,100,274.0,61.2,6,28
36,295926,2022-04-28 06:05:00,404896,80,0,105.0,59.6,6,28
37,295927,2022-04-28 06:05:00,404897,80,100,179.0,71.3,6,28
38,295928,2022-04-28 06:05:00,404898,80,100,172.0,71.8,6,28
39,295929,2022-04-28 06:05:00,404899,80,100,179.0,71.2,6,28
40,295931,2022-04-28 06:05:00,404906,80,0,171.0,65.9,6,28
41,295933,2022-04-28 06:05:00,404908,80,0,171.0,66.1,6,28
42,295935,2022-04-28 06:05:00,404910,80,20,167.0,66.2,6,28
43,295937,2022-04-28 06:05:00,404912,80,100,184.0,71.4,6,28
44,295939,2022-04-28 06:05:00,404914,80,0,225.0,66.0,6,28
45,295946,2022-04-28 06:05:00,404921,80,100,67.0,71.3,6,28
46,295948,2022-04-28 06:05:00,404923,80,0,147.0,61.7,6,28
47,297425,2022-04-28 06:05:00,420340,80,100,186.0,71.3,6,28
48,298488,2022-04-28 06:10:00,401546,80,0,298.0,68.6,6,28
49,299280,2022-04-28 06:10:00,402814,80,0,219.0,67.4,6,28
50,299281,2022-04-28 06:10:00,402815,80,0,219.0,67.4,6,28
51,299282,2022-04-28 06:10:00,402816,80,0,219.0,67.4,6,28
52,299283,2022-04-28 06:10:00,402817,80,20,241.0,68.5,6,28
53,299839,2022-04-28 06:10:00,404400,80,0,280.0,67.2,6,28
54,299938,2022-04-28 06:10:00,404885,80,100,168.0,71.4,6,28
55,299939,2022-04-28 06:10:00,404886,80,0,114.0,67.2,6,28
56,299942,2022-04-28 06:10:00,404889,80,0,120.0,65.4,6,28
57,299944,2022-04-28 06:10:00,404891,80,100,223.0,71.4,6,28
