,Unnamed: 0,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
0,289362,2022-02-26 06:00:00,401546,80,80,165.0,69.5,6,26
1,290154,2022-02-26 06:00:00,402814,80,0,121.0,69.3,6,26
2,290155,2022-02-26 06:00:00,402815,80,0,109.0,69.2,6,26
3,290156,2022-02-26 06:00:00,402816,80,0,121.0,69.3,6,26
4,290157,2022-02-26 06:00:00,402817,80,20,155.0,65.9,6,26
5,290713,2022-02-26 06:00:00,404400,80,100,157.0,69.8,6,26
6,290812,2022-02-26 06:00:00,404885,80,100,111.0,71.6,6,26
7,290813,2022-02-26 06:00:00,404886,80,100,125.0,71.2,6,26
8,290816,2022-02-26 06:00:00,404889,80,0,115.0,64.3,6,26
9,290818,2022-02-26 06:00:00,404891,80,100,109.0,71.6,6,26
10,290819,2022-02-26 06:00:00,404892,80,100,124.0,71.9,6,26
11,290821,2022-02-26 06:00:00,404894,80,100,242.0,47.4,6,26
12,290823,2022-02-26 06:00:00,404896,80,100,124.0,71.1,6,26
13,290824,2022-02-26 06:00:00,404897,80,100,123.0,71.4,6,26
14,290825,2022-02-26 06:00:00,404898,80,100,128.0,71.6,6,26
15,290826,2022-02-26 06:00:00,404899,80,100,122.0,71.5,6,26
16,290828,2022-02-26 06:00:00,404906,80,0,169.0,66.1,6,26
17,290830,2022-02-26 06:00:00,404908,80,0,131.0,66.2,6,26
18,290832,2022-02-26 06:00:00,404910,80,20,119.0,66.3,6,26
19,290834,2022-02-26 06:00:00,404912,80,100,116.0,70.8,6,26
20,290836,2022-02-26 06:00:00,404914,80,0,189.0,65.5,6,26
21,290843,2022-02-26 06:00:00,404921,80,100,29.0,71.4,6,26
22,290845,2022-02-26 06:00:00,404923,80,0,159.0,61.4,6,26
23,292324,2022-02-26 06:00:00,420340,80,100,112.0,71.6,6,26
24,293370,2022-02-26 06:05:00,401546,80,80,172.0,67.2,6,26
25,294162,2022-02-26 06:05:00,402814,80,0,127.0,69.1,6,26
26,294163,2022-02-26 06:05:00,402815,80,0,114.0,69.0,6,26
27,294164,2022-02-26 06:05:00,402816,80,0,127.0,69.1,6,26
28,294165,2022-02-26 06:05:00,402817,80,20,162.0,66.1,6,26
29,294721,2022-02-26 06:05:00,404400,80,100,163.0,69.8,6,26
30,294820,2022-02-26 06:05:00,404885,80,100,116.0,71.3,6,26
31,294821,2022-02-26 06:05:00,404886,80,100,136.0,71.1,6,26
32,294824,2022-02-26 06:05:00,404889,80,0,120.0,64.4,6,26
33,294826,2022-02-26 06:05:00,404891,80,100,122.0,71.3,6,26
34,294827,2022-02-26 06:05:00,404892,80,100,130.0,71.5,6,26
35,294829,2022-02-26 06:05:00,404894,80,100,239.0,58.7,6,26
36,294831,2022-02-26 06:05:00,404896,80,100,136.0,70.0,6,26
37,294832,2022-02-26 06:05:00,404897,80,100,117.0,71.3,6,26
38,294833,2022-02-26 06:05:00,404898,80,100,120.0,71.3,6,26
39,294834,2022-02-26 06:05:00,404899,80,100,109.0,70.3,6,26
40,294836,2022-02-26 06:05:00,404906,80,0,166.0,66.1,6,26
41,294838,2022-02-26 06:05:00,404908,80,0,139.0,66.2,6,26
42,294840,2022-02-26 06:05:00,404910,80,20,125.0,65.9,6,26
43,294842,2022-02-26 06:05:00,404912,80,100,120.0,71.2,6,26
44,294844,2022-02-26 06:05:00,404914,80,0,179.0,64.3,6,26
45,294851,2022-02-26 06:05:00,404921,80,100,39.0,72.5,6,26
46,294853,2022-02-26 06:05:00,404923,80,0,161.0,61.6,6,26
47,296332,2022-02-26 06:05:00,420340,80,100,118.0,71.0,6,26
48,297378,2022-02-26 06:10:00,401546,80,80,207.0,67.3,6,26
49,298170,2022-02-26 06:10:00,402814,80,0,138.0,69.2,6,26
50,298171,2022-02-26 06:10:00,402815,80,0,130.0,69.5,6,26
51,298172,2022-02-26 06:10:00,402816,80,0,138.0,69.2,6,26
52,298173,2022-02-26 06:10:00,402817,80,20,183.0,65.2,6,26
53,298729,2022-02-26 06:10:00,404400,80,100,191.0,69.4,6,26
54,298828,2022-02-26 06:10:00,404885,80,100,154.0,71.2,6,26
55,298829,2022-02-26 06:10:00,404886,80,100,178.0,71.1,6,26
56,298832,2022-02-26 06:10:00,404889,80,0,115.0,64.4,6,26
57,298834,2022-02-26 06:10:00,404891,80,100,151.0,71.3,6,26
58,298835,2022-02-26 06:10:00,404892,80,100,156.0,71.1,6,26
59,298837,2022-02-26 06:10:00,404894,80,100,211.0,65.9,6,26
60,298839,2022-02-26 06:10:00,404896,80,100,170.0,71.5,6,26
61,298840,2022-02-26 06:10:00,404897,80,100,172.0,70.7,6,26
62,298841,2022-02-26 06:10:00,404898,80,100,175.0,70.5,6,26
63,298842,2022-02-26 06:10:00,404899,80,100,179.0,70.4,6,26
64,298844,2022-02-26 06:10:00,404906,80,0,203.0,66.0,6,26
65,298846,2022-02-26 06:10:00,404908,80,0,171.0,66.1,6,26
66,298848,2022-02-26 06:10:00,404910,80,20,154.0,66.3,6,26
67,298850,2022-02-26 06:10:00,404912,80,100,172.0,70.8,6,26
68,298852,2022-02-26 06:10:00,404914,80,0,219.0,64.9,6,26
69,298859,2022-02-26 06:10:00,404921,80,100,45.0,72.3,6,26
70,298861,2022-02-26 06:10:00,404923,80,0,190.0,61.4,6,26
71,300340,2022-02-26 06:10:00,420340,80,100,155.0,71.3,6,26
72,301386,2022-02-26 06:15:00,401546,80,80,208.0,67.9,6,26
73,302178,2022-02-26 06:15:00,402814,80,0,149.0,69.3,6,26
74,302179,2022-02-26 06:15:00,402815,80,0,140.0,69.5,6,26
75,302180,2022-02-26 06:15:00,402816,80,0,149.0,69.3,6,26
76,302181,2022-02-26 06:15:00,402817,80,20,170.0,65.8,6,26
77,302737,2022-02-26 06:15:00,404400,80,100,195.0,69.6,6,26
78,302836,2022-02-26 06:15:00,404885,80,100,137.0,71.4,6,26
79,302837,2022-02-26 06:15:00,404886,80,100,155.0,70.5,6,26
80,302840,2022-02-26 06:15:00,404889,80,0,115.0,64.4,6,26
81,302842,2022-02-26 06:15:00,404891,80,100,139.0,71.5,6,26
82,302843,2022-02-26 06:15:00,404892,80,100,155.0,71.6,6,26
83,302845,2022-02-26 06:15:00,404894,80,100,226.0,63.4,6,26
84,302847,2022-02-26 06:15:00,404896,80,100,143.0,67.5,6,26
85,302848,2022-02-26 06:15:00,404897,80,100,154.0,71.3,6,26
86,302849,2022-02-26 06:15:00,404898,80,100,159.0,70.9,6,26
87,302850,2022-02-26 06:15:00,404899,80,100,151.0,71.1,6,26
88,302852,2022-02-26 06:15:00,404906,80,0,182.0,66.1,6,26
89,302854,2022-02-26 06:15:00,404908,80,0,153.0,66.2,6,26
90,302856,2022-02-26 06:15:00,404910,80,20,145.0,65.9,6,26
91,302858,2022-02-26 06:15:00,404912,80,100,154.0,70.6,6,26
92,302860,2022-02-26 06:15:00,404914,80,0,185.0,65.1,6,26
93,302867,2022-02-26 06:15:00,404921,80,100,39.0,72.2,6,26
94,302869,2022-02-26 06:15:00,404923,80,0,176.0,61.6,6,26
95,304348,2022-02-26 06:15:00,420340,80,100,137.0,71.4,6,26
96,305394,2022-02-26 06:20:00,401546,80,80,177.0,68.1,6,26
97,306186,2022-02-26 06:20:00,402814,80,0,157.0,69.4,6,26
98,306187,2022-02-26 06:20:00,402815,80,0,139.0,69.2,6,26
99,306188,2022-02-26 06:20:00,402816,80,0,157.0,69.4,6,26
100,306189,2022-02-26 06:20:00,402817,80,20,172.0,65.9,6,26
101,306745,2022-02-26 06:20:00,404400,80,100,164.0,70.6,6,26
102,306844,2022-02-26 06:20:00,404885,80,100,128.0,70.9,6,26
103,306845,2022-02-26 06:20:00,404886,80,100,126.0,70.8,6,26
104,306848,2022-02-26 06:20:00,404889,80,0,115.0,64.4,6,26
105,306850,2022-02-26 06:20:00,404891,80,100,120.0,70.8,6,26
106,306851,2022-02-26 06:20:00,404892,80,100,138.0,71.2,6,26
107,306853,2022-02-26 06:20:00,404894,80,100,174.0,71.8,6,26
108,306855,2022-02-26 06:20:00,404896,80,100,138.0,69.1,6,26
109,306856,2022-02-26 06:20:00,404897,80,100,126.0,70.8,6,26
110,306857,2022-02-26 06:20:00,404898,80,100,134.0,70.5,6,26
111,306858,2022-02-26 06:20:00,404899,80,100,136.0,70.7,6,26
112,306860,2022-02-26 06:20:00,404906,80,0,176.0,66.0,6,26
113,306862,2022-02-26 06:20:00,404908,80,0,144.0,66.1,6,26
114,306864,2022-02-26 06:20:00,404910,80,20,139.0,66.2,6,26
115,306866,2022-02-26 06:20:00,404912,80,100,126.0,70.5,6,26
116,306868,2022-02-26 06:20:00,404914,80,0,182.0,67.2,6,26
117,306875,2022-02-26 06:20:00,404921,80,100,36.0,72.5,6,26
118,306877,2022-02-26 06:20:00,404923,80,0,177.0,61.7,6,26
119,308356,2022-02-26 06:20:00,420340,80,100,128.0,71.0,6,26
120,309402,2022-02-26 06:25:00,401546,80,80,197.0,68.3,6,26
121,310194,2022-02-26 06:25:00,402814,80,0,168.0,69.6,6,26
122,310195,2022-02-26 06:25:00,402815,80,0,153.0,69.6,6,26
123,310196,2022-02-26 06:25:00,402816,80,0,168.0,69.6,6,26
124,310197,2022-02-26 06:25:00,402817,80,20,202.0,66.3,6,26
125,310753,2022-02-26 06:25:00,404400,80,100,205.0,72.0,6,26
126,310852,2022-02-26 06:25:00,404885,80,100,167.0,71.1,6,26
127,310853,2022-02-26 06:25:00,404886,80,100,179.0,70.0,6,26
