,Unnamed: 0,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
0,288139,2022-01-07 06:00:00,401546,80,80,175.0,66.1,6,7
1,288931,2022-01-07 06:00:00,402814,80,0,188.0,68.4,6,7
2,288932,2022-01-07 06:00:00,402815,80,20,161.0,68.1,6,7
3,288933,2022-01-07 06:00:00,402816,80,0,188.0,68.4,6,7
4,288934,2022-01-07 06:00:00,402817,80,0,192.0,67.1,6,7
5,289490,2022-01-07 06:00:00,404400,80,100,172.0,69.4,6,7
6,289589,2022-01-07 06:00:00,404885,80,100,134.0,70.9,6,7
7,289590,2022-01-07 06:00:00,404886,80,100,153.0,70.1,6,7
8,289593,2022-01-07 06:00:00,404889,80,0,855.0,57.8,6,7
9,289595,2022-01-07 06:00:00,404891,80,100,133.0,71.0,6,7
10,289596,2022-01-07 06:00:00,404892,80,100,162.0,70.0,6,7
11,289598,2022-01-07 06:00:00,404894,80,100,264.0,68.7,6,7
12,289600,2022-01-07 06:00:00,404896,80,100,140.0,67.6,6,7
13,289601,2022-01-07 06:00:00,404897,80,100,155.0,70.2,6,7
14,289602,2022-01-07 06:00:00,404898,80,100,161.0,68.9,6,7
15,289603,2022-01-07 06:00:00,404899,80,100,154.0,69.3,6,7
16,289605,2022-01-07 06:00:00,404906,80,0,179.0,66.0,6,7
17,289607,2022-01-07 06:00:00,404908,80,20,294.0,58.7,6,7
18,289609,2022-01-07 06:00:00,404910,80,20,216.0,66.1,6,7
19,289611,2022-01-07 06:00:00,404912,80,100,155.0,65.9,6,7
20,289613,2022-01-07 06:00:00,404914,80,0,195.0,64.5,6,7
21,289620,2022-01-07 06:00:00,404921,80,80,86.0,67.7,6,7
22,289622,2022-01-07 06:00:00,404923,80,0,174.0,61.4,6,7
23,291101,2022-01-07 06:00:00,420340,80,100,138.0,71.2,6,7
24,292130,2022-01-07 06:05:00,401546,80,80,178.0,67.1,6,7
25,292922,2022-01-07 06:05:00,402814,80,0,196.0,67.8,6,7
26,292923,2022-01-07 06:05:00,402815,80,20,170.0,67.5,6,7
27,292924,2022-01-07 06:05:00,402816,80,0,196.0,67.8,6,7
28,292925,2022-01-07 06:05:00,402817,80,0,207.0,66.7,6,7
29,293481,2022-01-07 06:05:00,404400,80,100,159.0,69.0,6,7
30,293580,2022-01-07 06:05:00,404885,80,100,139.0,71.1,6,7
31,293581,2022-01-07 06:05:00,404886,80,100,184.0,69.1,6,7
32,293584,2022-01-07 06:05:00,404889,80,0,1008.0,66.2,6,7
33,293586,2022-01-07 06:05:00,404891,80,100,140.0,70.8,6,7
34,293587,2022-01-07 06:05:00,404892,80,100,159.0,70.0,6,7
35,293589,2022-01-07 06:05:00,404894,80,100,228.0,72.2,6,7
36,293591,2022-01-07 06:05:00,404896,80,100,180.0,70.0,6,7
37,293592,2022-01-07 06:05:00,404897,80,100,163.0,70.4,6,7
38,293593,2022-01-07 06:05:00,404898,80,100,166.0,68.9,6,7
39,293594,2022-01-07 06:05:00,404899,80,100,162.0,69.8,6,7
40,293596,2022-01-07 06:05:00,404906,80,0,185.0,65.6,6,7
41,293598,2022-01-07 06:05:00,404908,80,20,332.0,67.9,6,7
42,293600,2022-01-07 06:05:00,404910,80,20,226.0,65.5,6,7
43,293602,2022-01-07 06:05:00,404912,80,100,158.0,66.4,6,7
44,293604,2022-01-07 06:05:00,404914,80,0,205.0,65.9,6,7
45,293611,2022-01-07 06:05:00,404921,80,80,102.0,66.2,6,7
46,293613,2022-01-07 06:05:00,404923,80,0,177.0,61.2,6,7
47,295092,2022-01-07 06:05:00,420340,80,100,161.0,71.2,6,7
48,296121,2022-01-07 06:10:00,401546,80,80,209.0,69.0,6,7
49,296913,2022-01-07 06:10:00,402814,80,0,215.0,67.5,6,7
50,296914,2022-01-07 06:10:00,402815,80,20,189.0,67.5,6,7
51,296915,2022-01-07 06:10:00,402816,80,0,215.0,67.5,6,7
52,296916,2022-01-07 06:10:00,402817,80,0,250.0,66.3,6,7
53,297472,2022-01-07 06:10:00,404400,80,100,185.0,68.8,6,7
54,297571,2022-01-07 06:10:00,404885,80,100,184.0,71.0,6,7
55,297572,2022-01-07 06:10:00,404886,80,100,198.0,69.1,6,7
56,297575,2022-01-07 06:10:00,404889,80,0,815.0,60.3,6,7
57,297577,2022-01-07 06:10:00,404891,80,100,181.0,71.0,6,7
58,297578,2022-01-07 06:10:00,404892,80,100,207.0,70.2,6,7
59,297580,2022-01-07 06:10:00,404894,80,100,230.0,70.3,6,7
60,297582,2022-01-07 06:10:00,404896,80,100,196.0,70.7,6,7
61,297583,2022-01-07 06:10:00,404897,80,100,184.0,70.9,6,7
62,297584,2022-01-07 06:10:00,404898,80,100,191.0,69.2,6,7
63,297585,2022-01-07 06:10:00,404899,80,100,194.0,69.5,6,7
64,297587,2022-01-07 06:10:00,404906,80,0,242.0,65.8,6,7
65,297589,2022-01-07 06:10:00,404908,80,20,327.0,62.1,6,7
66,297591,2022-01-07 06:10:00,404910,80,20,258.0,65.8,6,7
67,297593,2022-01-07 06:10:00,404912,80,100,186.0,67.9,6,7
68,297595,2022-01-07 06:10:00,404914,80,0,223.0,66.8,6,7
69,297602,2022-01-07 06:10:00,404921,80,80,109.0,67.0,6,7
70,297604,2022-01-07 06:10:00,404923,80,0,236.0,61.5,6,7
71,299083,2022-01-07 06:10:00,420340,80,100,200.0,69.6,6,7
72,300112,2022-01-07 06:15:00,401546,80,80,240.0,66.5,6,7
73,300904,2022-01-07 06:15:00,402814,80,0,231.0,67.3,6,7
74,300905,2022-01-07 06:15:00,402815,80,20,205.0,67.2,6,7
75,300906,2022-01-07 06:15:00,402816,80,0,231.0,67.3,6,7
76,300907,2022-01-07 06:15:00,402817,80,0,242.0,66.0,6,7
77,301463,2022-01-07 06:15:00,404400,80,100,232.0,68.0,6,7
78,301562,2022-01-07 06:15:00,404885,80,100,194.0,71.2,6,7
79,301563,2022-01-07 06:15:00,404886,80,100,251.0,69.5,6,7
80,301566,2022-01-07 06:15:00,404889,80,0,855.0,62.0,6,7
81,301568,2022-01-07 06:15:00,404891,80,100,198.0,71.1,6,7
82,301569,2022-01-07 06:15:00,404892,80,100,224.0,69.3,6,7
83,301571,2022-01-07 06:15:00,404894,80,100,317.0,66.4,6,7
84,301573,2022-01-07 06:15:00,404896,80,100,235.0,65.0,6,7
85,301574,2022-01-07 06:15:00,404897,80,100,228.0,69.4,6,7
86,301575,2022-01-07 06:15:00,404898,80,100,234.0,68.0,6,7
87,301576,2022-01-07 06:15:00,404899,80,100,216.0,68.2,6,7
88,301578,2022-01-07 06:15:00,404906,80,0,249.0,66.0,6,7
89,301580,2022-01-07 06:15:00,404908,80,20,365.0,63.7,6,7
90,301582,2022-01-07 06:15:00,404910,80,20,272.0,64.8,6,7
91,301584,2022-01-07 06:15:00,404912,80,100,219.0,65.8,6,7
92,301586,2022-01-07 06:15:00,404914,80,0,282.0,65.7,6,7
93,301593,2022-01-07 06:15:00,404921,80,80,130.0,66.3,6,7
94,301595,2022-01-07 06:15:00,404923,80,0,230.0,61.7,6,7
95,303074,2022-01-07 06:15:00,420340,80,100,213.0,69.9,6,7
96,304103,2022-01-07 06:20:00,401546,80,80,241.0,67.5,6,7
97,304895,2022-01-07 06:20:00,402814,80,0,244.0,67.2,6,7
98,304896,2022-01-07 06:20:00,402815,80,20,217.0,67.2,6,7
99,304897,2022-01-07 06:20:00,402816,80,0,244.0,67.2,6,7
100,304898,2022-01-07 06:20:00,402817,80,0,230.0,66.5,6,7
101,305454,2022-01-07 06:20:00,404400,80,100,231.0,69.3,6,7
102,305553,2022-01-07 06:20:00,404885,80,100,179.0,70.9,6,7
103,305554,2022-01-07 06:20:00,404886,80,100,198.0,69.7,6,7
104,305557,2022-01-07 06:20:00,404889,80,0,992.0,58.0,6,7
105,305559,2022-01-07 06:20:00,404891,80,100,152.0,70.8,6,7
106,305560,2022-01-07 06:20:00,404892,80,100,211.0,70.0,6,7
107,305562,2022-01-07 06:20:00,404894,80,100,253.0,68.4,6,7
108,305564,2022-01-07 06:20:00,404896,80,100,191.0,66.5,6,7
109,305565,2022-01-07 06:20:00,404897,80,100,224.0,69.2,6,7
110,305566,2022-01-07 06:20:00,404898,80,100,241.0,68.4,6,7
111,305567,2022-01-07 06:20:00,404899,80,100,233.0,69.0,6,7
112,305569,2022-01-07 06:20:00,404906,80,0,228.0,65.9,6,7
113,305571,2022-01-07 06:20:00,404908,80,20,351.0,59.1,6,7
114,305573,2022-01-07 06:20:00,404910,80,20,266.0,67.6,6,7
115,305575,2022-01-07 06:20:00,404912,80,100,226.0,67.0,6,7
116,305577,2022-01-07 06:20:00,404914,80,0,271.0,65.4,6,7
117,305584,2022-01-07 06:20:00,404921,80,80,110.0,67.5,6,7
118,305586,2022-01-07 06:20:00,404923,80,0,238.0,61.8,6,7
119,307065,2022-01-07 06:20:00,420340,80,100,180.0,70.1,6,7
120,308094,2022-01-07 06:25:00,401546,80,80,277.0,67.1,6,7
121,308886,2022-01-07 06:25:00,402814,80,0,258.0,67.1,6,7
122,308887,2022-01-07 06:25:00,402815,80,20,229.0,67.1,6,7
123,308888,2022-01-07 06:25:00,402816,80,0,258.0,67.1,6,7
124,308889,2022-01-07 06:25:00,402817,80,0,266.0,66.5,6,7
125,309445,2022-01-07 06:25:00,404400,80,100,254.0,67.9,6,7
126,309544,2022-01-07 06:25:00,404885,80,100,220.0,70.5,6,7
127,309545,2022-01-07 06:25:00,404886,80,100,261.0,69.3,6,7
128,309548,2022-01-07 06:25:00,404889,80,0,664.0,64.2,6,7
129,309550,2022-01-07 06:25:00,404891,80,100,222.0,70.4,6,7
130,309551,2022-01-07 06:25:00,404892,80,100,255.0,69.1,6,7
131,309553,2022-01-07 06:25:00,404894,80,100,367.0,66.5,6,7
132,309555,2022-01-07 06:25:00,404896,80,100,264.0,67.0,6,7
133,309556,2022-01-07 06:25:00,404897,80,100,247.0,67.9,6,7
134,309557,2022-01-07 06:25:00,404898,80,100,249.0,68.3,6,7
135,309558,2022-01-07 06:25:00,404899,80,100,243.0,68.3,6,7
136,309560,2022-01-07 06:25:00,404906,80,0,280.0,66.2,6,7
137,309562,2022-01-07 06:25:00,404908,80,20,329.0,65.8,6,7
138,309564,2022-01-07 06:25:00,404910,80,20,304.0,67.3,6,7
139,309566,2022-01-07 06:25:00,404912,80,100,250.0,65.0,6,7
140,309568,2022-01-07 06:25:00,404914,80,0,298.0,64.0,6,7
141,309575,2022-01-07 06:25:00,404921,80,80,145.0,66.2,6,7
142,309577,2022-01-07 06:25:00,404923,80,0,265.0,61.7,6,7
143,311056,2022-01-07 06:25:00,420340,80,100,232.0,70.3,6,7
144,312085,2022-01-07 06:30:00,401546,80,80,250.0,65.6,6,7
145,312877,2022-01-07 06:30:00,402814,80,0,268.0,67.1,6,7
146,312878,2022-01-07 06:30:00,402815,80,20,239.0,67.1,6,7
147,312879,2022-01-07 06:30:00,402816,80,0,268.0,67.1,6,7
148,312880,2022-01-07 06:30:00,402817,80,0,271.0,66.6,6,7
149,313436,2022-01-07 06:30:00,404400,80,100,253.0,67.7,6,7
150,313535,2022-01-07 06:30:00,404885,80,100,212.0,71.1,6,7
151,313536,2022-01-07 06:30:00,404886,80,100,254.0,68.2,6,7
152,313539,2022-01-07 06:30:00,404889,80,0,668.0,72.4,6,7
153,313541,2022-01-07 06:30:00,404891,80,100,215.0,71.1,6,7
154,313542,2022-01-07 06:30:00,404892,80,100,241.0,68.4,6,7
155,313544,2022-01-07 06:30:00,404894,80,100,286.0,67.6,6,7
156,313546,2022-01-07 06:30:00,404896,80,100,240.0,68.1,6,7
157,313547,2022-01-07 06:30:00,404897,80,100,243.0,68.6,6,7
158,313548,2022-01-07 06:30:00,404898,80,100,261.0,67.7,6,7
159,313549,2022-01-07 06:30:00,404899,80,100,246.0,67.5,6,7
160,313551,2022-01-07 06:30:00,404906,80,0,261.0,65.4,6,7
161,313553,2022-01-07 06:30:00,404908,80,20,308.0,72.6,6,7
162,313555,2022-01-07 06:30:00,404910,80,20,297.0,64.2,6,7
163,313557,2022-01-07 06:30:00,404912,80,100,242.0,63.1,6,7
164,313559,2022-01-07 06:30:00,404914,80,0,279.0,64.3,6,7
165,313566,2022-01-07 06:30:00,404921,80,80,129.0,66.5,6,7
166,313568,2022-01-07 06:30:00,404923,80,0,256.0,61.1,6,7
167,315047,2022-01-07 06:30:00,420340,80,100,238.0,70.1,6,7
168,316076,2022-01-07 06:35:00,401546,80,80,272.0,65.6,6,7
169,316868,2022-01-07 06:35:00,402814,80,0,283.0,67.2,6,7
170,316869,2022-01-07 06:35:00,402815,80,20,253.0,67.1,6,7
171,316870,2022-01-07 06:35:00,402816,80,0,283.0,67.2,6,7
172,316871,2022-01-07 06:35:00,402817,80,0,272.0,66.3,6,7
173,317427,2022-01-07 06:35:00,404400,80,100,254.0,67.8,6,7
174,317526,2022-01-07 06:35:00,404885,80,100,212.0,71.1,6,7
175,317527,2022-01-07 06:35:00,404886,80,100,252.0,67.3,6,7
176,317530,2022-01-07 06:35:00,404889,80,0,601.0,73.8,6,7
177,317532,2022-01-07 06:35:00,404891,80,100,213.0,71.1,6,7
178,317533,2022-01-07 06:35:00,404892,80,100,257.0,69.3,6,7
179,317535,2022-01-07 06:35:00,404894,80,100,296.0,67.8,6,7
180,317537,2022-01-07 06:35:00,404896,80,100,257.0,70.5,6,7
181,317538,2022-01-07 06:35:00,404897,80,100,249.0,68.6,6,7
182,317539,2022-01-07 06:35:00,404898,80,100,259.0,67.5,6,7
183,317540,2022-01-07 06:35:00,404899,80,100,256.0,67.5,6,7
184,317542,2022-01-07 06:35:00,404906,80,0,251.0,66.0,6,7
185,317544,2022-01-07 06:35:00,404908,80,20,287.0,73.1,6,7
186,317546,2022-01-07 06:35:00,404910,80,20,307.0,64.8,6,7
187,317548,2022-01-07 06:35:00,404912,80,100,255.0,61.2,6,7
188,317550,2022-01-07 06:35:00,404914,80,0,289.0,64.2,6,7
189,317557,2022-01-07 06:35:00,404921,80,80,146.0,66.4,6,7
190,317559,2022-01-07 06:35:00,404923,80,0,235.0,61.4,6,7
191,319038,2022-01-07 06:35:00,420340,80,100,224.0,70.5,6,7
192,320067,2022-01-07 06:40:00,401546,80,80,290.0,65.5,6,7
193,320859,2022-01-07 06:40:00,402814,80,0,307.0,67.3,6,7
194,320860,2022-01-07 06:40:00,402815,80,20,290.0,67.3,6,7
195,320861,2022-01-07 06:40:00,402816,80,0,307.0,67.3,6,7
196,320862,2022-01-07 06:40:00,402817,80,0,271.0,66.3,6,7
197,321418,2022-01-07 06:40:00,404400,80,100,265.0,66.9,6,7
198,321517,2022-01-07 06:40:00,404885,80,100,223.0,70.9,6,7
199,321518,2022-01-07 06:40:00,404886,80,100,260.0,69.1,6,7
200,321521,2022-01-07 06:40:00,404889,80,0,599.0,73.8,6,7
201,321523,2022-01-07 06:40:00,404891,80,100,233.0,70.8,6,7
