,Unnamed: 0,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
0,289362,2022-03-05 06:00:00,401546,80,80,146.0,68.8,6,5
1,290154,2022-03-05 06:00:00,402814,80,0,121.0,69.3,6,5
2,290155,2022-03-05 06:00:00,402815,80,0,107.0,69.1,6,5
3,290156,2022-03-05 06:00:00,402816,80,0,121.0,69.3,6,5
4,290157,2022-03-05 06:00:00,402817,80,20,164.0,66.3,6,5
5,290713,2022-03-05 06:00:00,404400,80,100,144.0,70.4,6,5
6,290812,2022-03-05 06:00:00,404885,80,100,118.0,71.6,6,5
7,290813,2022-03-05 06:00:00,404886,80,0,94.0,67.1,6,5
8,290816,2022-03-05 06:00:00,404889,80,0,126.0,65.3,6,5
9,290818,2022-03-05 06:00:00,404891,80,100,113.0,71.5,6,5
10,290819,2022-03-05 06:00:00,404892,80,100,139.0,71.0,6,5
11,290821,2022-03-05 06:00:00,404894,80,100,175.0,70.6,6,5
12,290823,2022-03-05 06:00:00,404896,80,0,100.0,62.8,6,5
13,290824,2022-03-05 06:00:00,404897,80,100,139.0,71.3,6,5
14,290825,2022-03-05 06:00:00,404898,80,100,147.0,70.9,6,5
15,290826,2022-03-05 06:00:00,404899,80,100,136.0,70.1,6,5
16,290828,2022-03-05 06:00:00,404906,80,0,192.0,66.1,6,5
17,290830,2022-03-05 06:00:00,404908,80,0,147.0,66.4,6,5
18,290832,2022-03-05 06:00:00,404910,80,40,116.0,67.6,6,5
19,290834,2022-03-05 06:00:00,404912,80,100,135.0,69.6,6,5
20,290836,2022-03-05 06:00:00,404914,80,0,179.0,66.5,6,5
21,290843,2022-03-05 06:00:00,404921,80,100,34.0,72.2,6,5
22,290845,2022-03-05 06:00:00,404923,80,0,173.0,61.6,6,5
23,292324,2022-03-05 06:00:00,420340,80,100,123.0,71.2,6,5
24,293370,2022-03-05 06:05:00,401546,80,80,193.0,70.2,6,5
25,294162,2022-03-05 06:05:00,402814,80,0,127.0,69.1,6,5
