,Unnamed: 0,Timestamp,StationID,Fwy,% Observed,Total Flow,Avg Speed,hour,day
0,290442,2022-05-04 06:00:00,401546,80,0,211.0,66.5,6,4
1,291234,2022-05-04 06:00:00,402814,80,0,185.0,68.3,6,4
2,291235,2022-05-04 06:00:00,402815,80,0,185.0,68.3,6,4
3,291236,2022-05-04 06:00:00,402816,80,0,185.0,68.3,6,4
4,291237,2022-05-04 06:00:00,402817,80,20,201.0,66.7,6,4
5,291793,2022-05-04 06:00:00,404400,80,0,190.0,67.5,6,4
6,291892,2022-05-04 06:00:00,404885,80,100,110.0,71.1,6,4
7,291893,2022-05-04 06:00:00,404886,80,0,116.0,67.1,6,4
8,291896,2022-05-04 06:00:00,404889,80,0,185.0,68.3,6,4
9,291898,2022-05-04 06:00:00,404891,80,100,174.0,71.4,6,4
10,291899,2022-05-04 06:00:00,404892,80,100,198.0,70.2,6,4
11,291901,2022-05-04 06:00:00,404894,80,100,227.0,58.7,6,4
12,291903,2022-05-04 06:00:00,404896,80,0,103.0,59.2,6,4
13,291904,2022-05-04 06:00:00,404897,80,100,197.0,69.9,6,4
14,291905,2022-05-04 06:00:00,404898,80,100,176.0,70.6,6,4
15,291906,2022-05-04 06:00:00,404899,80,100,178.0,69.5,6,4
16,291908,2022-05-04 06:00:00,404906,80,0,213.0,66.4,6,4
17,291910,2022-05-04 06:00:00,404908,80,0,219.0,66.7,6,4
18,291912,2022-05-04 06:00:00,404910,80,0,242.0,66.6,6,4
19,291914,2022-05-04 06:00:00,404912,80,100,197.0,69.4,6,4
20,291916,2022-05-04 06:00:00,404914,80,0,244.0,66.2,6,4
21,291923,2022-05-04 06:00:00,404921,80,100,58.0,71.4,6,4
22,291925,2022-05-04 06:00:00,404923,80,0,180.0,61.6,6,4
23,293402,2022-05-04 06:00:00,420340,80,100,174.0,71.9,6,4
24,294465,2022-05-04 06:05:00,401546,80,0,210.0,66.0,6,4
25,295257,2022-05-04 06:05:00,402814,80,0,194.0,67.6,6,4
26,295258,2022-05-04 06:05:00,402815,80,0,194.0,67.6,6,4
27,295259,2022-05-04 06:05:00,402816,80,0,194.0,67.6,6,4
28,295260,2022-05-04 06:05:00,402817,80,20,198.0,67.0,6,4
29,295816,2022-05-04 06:05:00,404400,80,0,210.0,67.0,6,4
30,295915,2022-05-04 06:05:00,404885,80,100,129.0,71.1,6,4
31,295916,2022-05-04 06:05:00,404886,80,0,116.0,67.0,6,4
32,295919,2022-05-04 06:05:00,404889,80,0,194.0,67.6,6,4
33,295921,2022-05-04 06:05:00,404891,80,100,162.0,71.1,6,4
34,295922,2022-05-04 06:05:00,404892,80,100,185.0,70.4,6,4
35,295924,2022-05-04 06:05:00,404894,80,100,149.0,56.7,6,4
36,295926,2022-05-04 06:05:00,404896,80,0,101.0,59.6,6,4
37,295927,2022-05-04 06:05:00,404897,80,100,183.0,70.0,6,4
38,295928,2022-05-04 06:05:00,404898,80,100,132.0,70.9,6,4
39,295929,2022-05-04 06:05:00,404899,80,100,180.0,69.4,6,4
40,295931,2022-05-04 06:05:00,404906,80,0,187.0,66.1,6,4
41,295933,2022-05-04 06:05:00,404908,80,0,187.0,66.4,6,4
42,295935,2022-05-04 06:05:00,404910,80,0,229.0,66.5,6,4
43,295937,2022-05-04 06:05:00,404912,80,100,195.0,69.5,6,4
44,295939,2022-05-04 06:05:00,404914,80,0,199.0,65.6,6,4
45,295946,2022-05-04 06:05:00,404921,80,100,59.0,71.4,6,4
46,295948,2022-05-04 06:05:00,404923,80,0,166.0,61.3,6,4
47,297425,2022-05-04 06:05:00,420340,80,100,175.0,71.6,6,4
48,298488,2022-05-04 06:10:00,401546,80,0,258.0,66.5,6,4
49,299280,2022-05-04 06:10:00,402814,80,0,212.0,67.3,6,4
50,299281,2022-05-04 06:10:00,402815,80,0,212.0,67.3,6,4
51,299282,2022-05-04 06:10:00,402816,80,0,212.0,67.3,6,4
52,299283,2022-05-04 06:10:00,402817,80,20,237.0,68.2,6,4
53,299839,2022-05-04 06:10:00,404400,80,0,248.0,67.1,6,4
54,299938,2022-05-04 06:10:00,404885,80,100,116.0,71.7,6,4
55,299939,2022-05-04 06:10:00,404886,80,0,124.0,67.3,6,4
56,299942,2022-05-04 06:10:00,404889,80,0,212.0,67.3,6,4
57,299944,2022-05-04 06:10:00,404891,80,100,215.0,71.6,6,4
58,299945,2022-05-04 06:10:00,404892,80,100,236.0,72.1,6,4
59,299947,2022-05-04 06:10:00,404894,80,100,198.0,62.3,6,4
60,299949,2022-05-04 06:10:00,404896,80,0,127.0,60.0,6,4
61,299950,2022-05-04 06:10:00,404897,80,100,237.0,71.3,6,4
62,299951,2022-05-04 06:10:00,404898,80,100,222.0,71.4,6,4
63,299952,2022-05-04 06:10:00,404899,80,100,237.0,70.8,6,4
64,299954,2022-05-04 06:10:00,404906,80,0,209.0,66.5,6,4
65,299956,2022-05-04 06:10:00,404908,80,0,228.0,67.0,6,4
66,299958,2022-05-04 06:10:00,404910,80,0,281.0,67.7,6,4
67,299960,2022-05-04 06:10:00,404912,80,100,236.0,71.3,6,4
68,299962,2022-05-04 06:10:00,404914,80,0,251.0,67.1,6,4
69,299969,2022-05-04 06:10:00,404921,80,100,74.0,72.4,6,4
70,299971,2022-05-04 06:10:00,404923,80,0,152.0,61.4,6,4
71,301448,2022-05-04 06:10:00,420340,80,100,220.0,72.1,6,4
72,302511,2022-05-04 06:15:00,401546,80,0,272.0,67.4,6,4
73,303303,2022-05-04 06:15:00,402814,80,0,231.0,67.2,6,4
74,303304,2022-05-04 06:15:00,402815,80,0,231.0,67.2,6,4
75,303305,2022-05-04 06:15:00,402816,80,0,231.0,67.2,6,4
76,303306,2022-05-04 06:15:00,402817,80,20,264.0,67.8,6,4
77,303862,2022-05-04 06:15:00,404400,80,0,275.0,67.2,6,4
78,303961,2022-05-04 06:15:00,404885,80,100,134.0,70.9,6,4
79,303962,2022-05-04 06:15:00,404886,80,0,118.0,67.4,6,4
80,303965,2022-05-04 06:15:00,404889,80,0,231.0,67.2,6,4
81,303967,2022-05-04 06:15:00,404891,80,100,221.0,71.1,6,4
82,303968,2022-05-04 06:15:00,404892,80,100,246.0,71.5,6,4
83,303970,2022-05-04 06:15:00,404894,80,100,267.0,58.7,6,4
84,303972,2022-05-04 06:15:00,404896,80,0,108.0,59.6,6,4
85,303973,2022-05-04 06:15:00,404897,80,100,242.0,70.6,6,4
86,303974,2022-05-04 06:15:00,404898,80,100,192.0,70.4,6,4
87,303975,2022-05-04 06:15:00,404899,80,100,245.0,71.0,6,4
88,303977,2022-05-04 06:15:00,404906,80,0,239.0,66.0,6,4
89,303979,2022-05-04 06:15:00,404908,80,0,238.0,66.5,6,4
90,303981,2022-05-04 06:15:00,404910,80,0,280.0,67.6,6,4
91,303983,2022-05-04 06:15:00,404912,80,100,245.0,71.1,6,4
92,303985,2022-05-04 06:15:00,404914,80,0,299.0,65.7,6,4
93,303992,2022-05-04 06:15:00,404921,80,100,71.0,71.0,6,4
94,303994,2022-05-04 06:15:00,404923,80,0,178.0,61.3,6,4
95,305471,2022-05-04 06:15:00,420340,80,100,242.0,71.5,6,4
96,306534,2022-05-04 06:20:00,401546,80,0,313.0,67.8,6,4
97,307326,2022-05-04 06:20:00,402814,80,0,249.0,67.1,6,4
98,307327,2022-05-04 06:20:00,402815,80,0,249.0,67.1,6,4
99,307328,2022-05-04 06:20:00,402816,80,0,249.0,67.1,6,4
100,307329,2022-05-04 06:20:00,402817,80,20,273.0,66.5,6,4
101,307885,2022-05-04 06:20:00,404400,80,0,313.0,67.5,6,4
102,307984,2022-05-04 06:20:00,404885,80,100,223.0,71.0,6,4
103,307985,2022-05-04 06:20:00,404886,80,0,132.0,67.2,6,4
104,307988,2022-05-04 06:20:00,404889,80,0,249.0,67.1,6,4
105,307990,2022-05-04 06:20:00,404891,80,100,251.0,71.2,6,4
106,307991,2022-05-04 06:20:00,404892,80,100,295.0,71.6,6,4
107,307993,2022-05-04 06:20:00,404894,80,100,251.0,66.6,6,4
108,307995,2022-05-04 06:20:00,404896,80,0,130.0,59.4,6,4
109,307996,2022-05-04 06:20:00,404897,80,100,272.0,71.6,6,4
110,307997,2022-05-04 06:20:00,404898,80,100,157.0,70.8,6,4
